_id,PUNTUACION_ACCESIBILIDAD,PUNTUACION_CALIDAD,COMENTARIOS,AREARECREATIVAID,FECHA
ES-1041,5,5,EXCELENTE,17404,2021-07-06T00:00:00Z
ES-1042,1,1,DEFICIENTE,18072,2022-04-23T00:00:00Z
ES-1043,4,5,EXCELENTE,18284,2021-05-14T00:00:00Z
ES-1044,3,2,ACEPTABLE,17536,2021-07-24T00:00:00Z
ES-1045,2,2,ACEPTABLE,16929,2022-07-13T00:00:00Z
ES-1046,3,2,ACEPTABLE,17470,2022-01-07T00:00:00Z
ES-1047,3,4,MUY BUENO,3568300,2021-02-14T00:00:00Z
ES-1048,3,2,ACEPTABLE,5219922,2023-02-02T00:00:00Z
ES-1049,1,1,DEFICIENTE,18372,2022-09-06T00:00:00Z
ES-105,4,3,MUY BUENO,17378,2023-05-24T00:00:00Z
ES-1050,4,5,EXCELENTE,18202,2022-04-04T00:00:00Z
ES-1051,1,1,DEFICIENTE,18526,2021-06-23T00:00:00Z
ES-1052,3,2,ACEPTABLE,17955,2022-07-24T00:00:00Z
ES-1053,4,4,EXCELENTE,17697,2023-03-14T00:00:00Z
ES-1054,3,4,MUY BUENO,5237109,2022-06-06T00:00:00Z
ES-1055,1,1,DEFICIENTE,52076,2021-12-27T00:00:00Z
ES-1056,2,3,ACEPTABLE,16865,2021-03-26T00:00:00Z
ES-1057,5,5,EXCELENTE,17601,2023-04-30T00:00:00Z
ES-1058,2,2,ACEPTABLE,451584,2021-08-20T00:00:00Z
ES-1059,4,4,EXCELENTE,17051,2021-10-24T00:00:00Z
ES-106,5,4,EXCELENTE,7180264,2023-12-12T00:00:00Z
ES-1060,4,3,MUY BUENO,5003366,2023-08-07T00:00:00Z
ES-1061,2,2,ACEPTABLE,17745,2021-07-28T00:00:00Z
ES-1062,1,1,DEFICIENTE,16879,2022-01-15T00:00:00Z
ES-1063,3,3,MUY BUENO,18340,2021-12-21T00:00:00Z
ES-1064,2,2,ACEPTABLE,18509,2021-01-25T00:00:00Z
ES-1065,2,3,ACEPTABLE,17049,2022-12-13T00:00:00Z
ES-1066,4,3,MUY BUENO,5241185,2023-06-07T00:00:00Z
ES-1067,4,5,EXCELENTE,17868,2023-01-18T00:00:00Z
ES-1068,3,3,MUY BUENO,16943,2023-05-05T00:00:00Z
ES-1069,3,4,MUY BUENO,17200,2021-11-19T00:00:00Z
ES-107,1,1,DEFICIENTE,18232,2022-07-27T00:00:00Z
ES-1070,4,5,EXCELENTE,52054,2023-05-01T00:00:00Z
ES-1071,3,3,MUY BUENO,17180,2023-09-14T00:00:00Z
ES-1072,5,5,EXCELENTE,7142118,2021-10-24T00:00:00Z
ES-1073,2,3,ACEPTABLE,17102,2021-08-23T00:00:00Z
ES-1074,5,4,EXCELENTE,17827,2021-11-18T00:00:00Z
ES-1075,3,3,MUY BUENO,52124,2022-09-19T00:00:00Z
ES-1076,5,4,EXCELENTE,16720,2021-09-23T00:00:00Z
ES-1077,5,5,EXCELENTE,18007,2022-11-27T00:00:00Z
ES-1078,4,3,MUY BUENO,5237111,2022-12-05T00:00:00Z
ES-1079,3,2,ACEPTABLE,18042,2023-09-02T00:00:00Z
ES-108,2,3,ACEPTABLE,16741,2021-08-04T00:00:00Z
ES-1080,5,4,EXCELENTE,16856,2022-08-07T00:00:00Z
ES-1081,3,3,MUY BUENO,17779,2022-05-22T00:00:00Z
ES-1082,4,3,MUY BUENO,17198,2021-07-26T00:00:00Z
ES-1083,4,3,MUY BUENO,16984,2023-12-24T00:00:00Z
ES-1084,4,4,EXCELENTE,17274,2023-11-27T00:00:00Z
ES-1085,2,3,ACEPTABLE,5654057,2021-06-04T00:00:00Z
ES-1086,5,5,EXCELENTE,18101,2023-10-07T00:00:00Z
ES-1087,1,1,DEFICIENTE,8927341,2021-10-26T00:00:00Z
ES-1088,1,1,DEFICIENTE,6819620,2022-12-29T00:00:00Z
ES-1089,1,1,DEFICIENTE,16888,2023-08-10T00:00:00Z
ES-109,2,3,ACEPTABLE,18569,2023-11-24T00:00:00Z
ES-1090,1,1,DEFICIENTE,17740,2023-08-31T00:00:00Z
ES-1091,2,2,ACEPTABLE,18296,2023-10-20T00:00:00Z
ES-1092,3,3,MUY BUENO,18599,2023-07-26T00:00:00Z
ES-1093,4,5,EXCELENTE,16859,2021-09-29T00:00:00Z
ES-1094,2,3,ACEPTABLE,17499,2021-05-15T00:00:00Z
ES-1095,1,2,REGULAR,5272342,2023-01-05T00:00:00Z
ES-1096,4,4,EXCELENTE,7943797,2023-02-09T00:00:00Z
ES-1097,3,3,MUY BUENO,16940,2021-10-15T00:00:00Z
ES-1098,1,1,DEFICIENTE,52229,2022-07-21T00:00:00Z
ES-1099,5,5,EXCELENTE,17721,2021-09-09T00:00:00Z
ES-11,1,1,DEFICIENTE,18345,2021-05-30T00:00:00Z
ES-110,2,3,ACEPTABLE,17851,2021-05-25T00:00:00Z
ES-1100,1,1,DEFICIENTE,16878,2023-02-14T00:00:00Z
ES-1101,4,3,MUY BUENO,5241177,2023-06-23T00:00:00Z
ES-1102,1,2,REGULAR,52137,2021-02-06T00:00:00Z
ES-1103,5,5,EXCELENTE,16923,2022-10-10T00:00:00Z
ES-1104,5,4,EXCELENTE,5246188,2022-04-02T00:00:00Z
ES-1105,3,4,MUY BUENO,5056315,2023-01-03T00:00:00Z
ES-1106,2,1,REGULAR,17638,2023-12-16T00:00:00Z
ES-1107,2,3,ACEPTABLE,18339,2022-10-13T00:00:00Z
ES-1108,4,5,EXCELENTE,16664,2021-03-22T00:00:00Z
ES-1109,2,3,ACEPTABLE,17705,2021-11-10T00:00:00Z
ES-111,3,3,MUY BUENO,52095,2021-04-17T00:00:00Z
ES-1110,5,5,EXCELENTE,5241177,2023-03-22T00:00:00Z
ES-1111,3,3,MUY BUENO,16657,2022-09-16T00:00:00Z
ES-1112,1,1,DEFICIENTE,5219933,2022-05-30T00:00:00Z
ES-1113,4,5,EXCELENTE,18476,2021-07-09T00:00:00Z
ES-1114,1,1,DEFICIENTE,17941,2021-12-07T00:00:00Z
ES-1115,4,4,EXCELENTE,16771,2023-08-25T00:00:00Z
ES-1116,2,3,ACEPTABLE,18149,2023-10-21T00:00:00Z
ES-1117,2,3,ACEPTABLE,18622,2021-03-19T00:00:00Z
ES-1118,5,4,EXCELENTE,17335,2022-01-07T00:00:00Z
ES-1119,4,3,MUY BUENO,3573055,2022-11-01T00:00:00Z
ES-112,1,1,DEFICIENTE,16696,2022-05-17T00:00:00Z
ES-1120,4,4,EXCELENTE,17024,2023-04-27T00:00:00Z
ES-1121,3,2,ACEPTABLE,18115,2022-12-28T00:00:00Z
ES-1122,3,3,MUY BUENO,5654051,2023-05-17T00:00:00Z
ES-1123,2,1,REGULAR,17217,2021-09-19T00:00:00Z
ES-1124,3,4,MUY BUENO,17757,2022-03-19T00:00:00Z
ES-1125,2,2,ACEPTABLE,18267,2022-07-25T00:00:00Z
ES-1126,4,3,MUY BUENO,17853,2022-06-03T00:00:00Z
ES-1127,2,1,REGULAR,17619,2022-08-20T00:00:00Z
ES-1128,5,5,EXCELENTE,17805,2023-11-26T00:00:00Z
ES-1129,2,1,REGULAR,7908048,2023-06-11T00:00:00Z
ES-113,1,2,REGULAR,17813,2021-08-16T00:00:00Z
ES-1130,4,4,EXCELENTE,18416,2023-11-21T00:00:00Z
ES-1131,5,5,EXCELENTE,18465,2023-01-23T00:00:00Z
ES-1132,3,3,MUY BUENO,17992,2021-07-28T00:00:00Z
ES-1133,2,1,REGULAR,5246193,2022-02-02T00:00:00Z
ES-1134,2,2,ACEPTABLE,5241181,2023-01-29T00:00:00Z
ES-1135,3,2,ACEPTABLE,17101,2022-04-14T00:00:00Z
ES-1136,2,3,ACEPTABLE,17514,2021-02-14T00:00:00Z
ES-1137,2,1,REGULAR,5133174,2023-07-30T00:00:00Z
ES-1138,3,3,MUY BUENO,18362,2023-06-02T00:00:00Z
ES-1139,1,2,REGULAR,17553,2023-08-01T00:00:00Z
ES-114,5,5,EXCELENTE,17933,2022-07-13T00:00:00Z
ES-1140,3,2,ACEPTABLE,7165942,2023-11-09T00:00:00Z
ES-1141,2,1,REGULAR,17896,2023-12-01T00:00:00Z
ES-1142,1,1,DEFICIENTE,18242,2021-04-12T00:00:00Z
ES-1143,4,5,EXCELENTE,8799532,2023-10-10T00:00:00Z
ES-1144,4,5,EXCELENTE,7126577,2021-12-19T00:00:00Z
ES-1145,4,5,EXCELENTE,52209,2022-07-07T00:00:00Z
ES-1146,2,1,REGULAR,7107703,2022-01-09T00:00:00Z
ES-1147,2,1,REGULAR,18622,2022-05-26T00:00:00Z
ES-1148,3,2,ACEPTABLE,17453,2022-02-18T00:00:00Z
ES-1149,4,4,EXCELENTE,17156,2021-09-03T00:00:00Z
ES-115,4,3,MUY BUENO,17375,2023-04-06T00:00:00Z
ES-1150,1,1,DEFICIENTE,52197,2021-10-04T00:00:00Z
ES-1151,4,5,EXCELENTE,8927341,2022-12-12T00:00:00Z
ES-1152,2,3,ACEPTABLE,16718,2021-10-14T00:00:00Z
ES-1153,1,2,REGULAR,3991153,2023-02-20T00:00:00Z
ES-1154,5,5,EXCELENTE,17118,2021-05-04T00:00:00Z
ES-1155,5,5,EXCELENTE,52225,2023-09-04T00:00:00Z
ES-1156,2,2,ACEPTABLE,5211511,2022-01-08T00:00:00Z
ES-1157,3,4,MUY BUENO,9180738,2022-03-24T00:00:00Z
ES-1158,2,2,ACEPTABLE,17000,2021-07-30T00:00:00Z
ES-1159,1,2,REGULAR,5174681,2021-01-18T00:00:00Z
ES-116,4,5,EXCELENTE,52214,2022-05-27T00:00:00Z
ES-1160,1,1,DEFICIENTE,17744,2023-02-11T00:00:00Z
ES-1161,5,5,EXCELENTE,3567539,2022-07-11T00:00:00Z
ES-1162,5,5,EXCELENTE,18295,2021-07-28T00:00:00Z
ES-1163,1,1,DEFICIENTE,18369,2023-12-26T00:00:00Z
ES-1164,1,1,DEFICIENTE,9049654,2023-01-05T00:00:00Z
ES-1165,2,3,ACEPTABLE,17059,2021-04-06T00:00:00Z
ES-1166,1,1,DEFICIENTE,18473,2023-03-30T00:00:00Z
ES-1167,1,1,DEFICIENTE,17508,2023-07-02T00:00:00Z
ES-1168,1,2,REGULAR,5237124,2022-07-05T00:00:00Z
ES-1169,2,1,REGULAR,17044,2022-02-22T00:00:00Z
ES-117,5,5,EXCELENTE,17755,2021-12-25T00:00:00Z
ES-1170,3,3,MUY BUENO,18505,2021-07-14T00:00:00Z
ES-1171,1,1,DEFICIENTE,52087,2021-06-06T00:00:00Z
ES-1172,2,2,ACEPTABLE,3991087,2022-12-18T00:00:00Z
ES-1173,2,3,ACEPTABLE,8785833,2021-11-28T00:00:00Z
ES-1174,5,5,EXCELENTE,4990656,2023-12-31T00:00:00Z
ES-1175,4,4,EXCELENTE,52227,2022-10-04T00:00:00Z
ES-1176,3,3,MUY BUENO,17725,2023-09-13T00:00:00Z
ES-1177,2,3,ACEPTABLE,18376,2022-04-05T00:00:00Z
ES-1178,1,2,REGULAR,52179,2022-06-03T00:00:00Z
ES-1179,1,1,DEFICIENTE,3576105,2022-07-01T00:00:00Z
ES-118,5,5,EXCELENTE,18331,2022-01-08T00:00:00Z
ES-1180,2,2,ACEPTABLE,17831,2021-04-10T00:00:00Z
ES-1181,4,3,MUY BUENO,18577,2023-04-23T00:00:00Z
ES-1182,2,3,ACEPTABLE,8781302,2022-10-16T00:00:00Z
ES-1183,1,1,DEFICIENTE,18425,2021-10-20T00:00:00Z
ES-1184,2,2,ACEPTABLE,18440,2022-11-19T00:00:00Z
ES-1185,4,4,EXCELENTE,18319,2023-03-26T00:00:00Z
ES-1186,2,2,ACEPTABLE,5178801,2021-12-16T00:00:00Z
ES-1187,1,1,DEFICIENTE,18237,2022-11-13T00:00:00Z
ES-1188,4,5,EXCELENTE,16722,2021-07-15T00:00:00Z
ES-1189,2,1,REGULAR,451353,2022-10-09T00:00:00Z
ES-119,2,3,ACEPTABLE,17560,2022-05-22T00:00:00Z
ES-1190,3,2,ACEPTABLE,18419,2023-11-17T00:00:00Z
ES-1191,5,5,EXCELENTE,18248,2021-09-10T00:00:00Z
ES-1192,5,5,EXCELENTE,18525,2021-03-09T00:00:00Z
ES-1193,1,2,REGULAR,5209024,2023-06-26T00:00:00Z
ES-1194,2,2,ACEPTABLE,17148,2023-09-05T00:00:00Z
ES-1195,2,2,ACEPTABLE,17339,2021-02-19T00:00:00Z
ES-1196,3,3,MUY BUENO,17247,2022-03-30T00:00:00Z
ES-1197,2,1,REGULAR,52163,2022-10-02T00:00:00Z
ES-1198,1,1,DEFICIENTE,17023,2022-12-08T00:00:00Z
ES-1199,5,5,EXCELENTE,5654059,2023-09-04T00:00:00Z
ES-12,2,2,ACEPTABLE,18371,2023-08-13T00:00:00Z
ES-120,2,2,ACEPTABLE,16966,2021-10-08T00:00:00Z
ES-1200,4,4,EXCELENTE,17819,2022-04-22T00:00:00Z
ES-1201,2,3,ACEPTABLE,17147,2021-02-15T00:00:00Z
ES-1202,1,1,DEFICIENTE,17847,2022-06-27T00:00:00Z
ES-1203,2,3,ACEPTABLE,4988049,2023-05-23T00:00:00Z
ES-1204,5,5,EXCELENTE,18304,2023-10-27T00:00:00Z
ES-1205,1,1,DEFICIENTE,17850,2021-10-03T00:00:00Z
ES-1206,1,1,DEFICIENTE,4749895,2022-08-14T00:00:00Z
ES-1207,3,4,MUY BUENO,16934,2023-01-24T00:00:00Z
ES-1208,4,5,EXCELENTE,17867,2022-04-01T00:00:00Z
ES-1209,5,5,EXCELENTE,16724,2021-07-01T00:00:00Z
ES-121,4,3,MUY BUENO,17007,2023-03-30T00:00:00Z
ES-1210,2,3,ACEPTABLE,18406,2023-10-29T00:00:00Z
ES-1211,5,5,EXCELENTE,52208,2022-10-26T00:00:00Z
ES-1212,4,3,MUY BUENO,7591618,2021-10-29T00:00:00Z
ES-1213,3,4,MUY BUENO,17106,2021-02-25T00:00:00Z
ES-1214,4,4,EXCELENTE,17711,2021-12-01T00:00:00Z
ES-1215,1,1,DEFICIENTE,18408,2021-06-30T00:00:00Z
ES-1216,4,4,EXCELENTE,17851,2023-02-04T00:00:00Z
ES-1217,4,4,EXCELENTE,18118,2021-07-16T00:00:00Z
ES-1218,4,4,EXCELENTE,5010682,2021-12-21T00:00:00Z
ES-1219,4,5,EXCELENTE,7127775,2022-01-08T00:00:00Z
ES-122,2,1,REGULAR,3569210,2023-11-16T00:00:00Z
ES-1220,1,1,DEFICIENTE,5241182,2022-11-27T00:00:00Z
ES-1221,4,3,MUY BUENO,5240276,2023-03-25T00:00:00Z
ES-1222,4,3,MUY BUENO,52157,2023-03-03T00:00:00Z
ES-1223,3,2,ACEPTABLE,52181,2022-06-14T00:00:00Z
ES-1224,2,1,REGULAR,17280,2023-07-11T00:00:00Z
ES-1225,2,2,ACEPTABLE,18466,2023-08-19T00:00:00Z
ES-1226,5,5,EXCELENTE,18565,2021-05-20T00:00:00Z
ES-1227,4,3,MUY BUENO,17739,2023-03-10T00:00:00Z
ES-1228,3,3,MUY BUENO,5219929,2021-02-26T00:00:00Z
ES-1229,1,2,REGULAR,52142,2022-11-25T00:00:00Z
ES-123,4,5,EXCELENTE,7021749,2023-09-04T00:00:00Z
ES-1230,1,1,DEFICIENTE,17778,2022-02-08T00:00:00Z
ES-1231,1,2,REGULAR,18197,2021-02-03T00:00:00Z
ES-1232,4,4,EXCELENTE,18039,2023-10-12T00:00:00Z
ES-1233,1,1,DEFICIENTE,17460,2023-11-06T00:00:00Z
ES-1234,3,4,MUY BUENO,18562,2022-10-20T00:00:00Z
ES-1235,1,2,REGULAR,6819615,2021-02-05T00:00:00Z
ES-1236,2,1,REGULAR,7107699,2021-05-28T00:00:00Z
ES-1237,2,3,ACEPTABLE,17928,2023-07-05T00:00:00Z
ES-1238,5,4,EXCELENTE,17146,2023-11-01T00:00:00Z
ES-1239,3,3,MUY BUENO,17018,2022-07-08T00:00:00Z
ES-124,4,3,MUY BUENO,3568708,2021-04-13T00:00:00Z
ES-1240,3,2,ACEPTABLE,16890,2021-05-11T00:00:00Z
ES-1241,2,1,REGULAR,16885,2023-05-15T00:00:00Z
ES-1242,5,5,EXCELENTE,7591686,2022-06-05T00:00:00Z
ES-1243,4,5,EXCELENTE,52119,2021-02-02T00:00:00Z
ES-1244,3,3,MUY BUENO,52152,2021-07-21T00:00:00Z
ES-1245,5,4,EXCELENTE,17763,2023-09-12T00:00:00Z
ES-1246,2,1,REGULAR,18628,2023-07-23T00:00:00Z
ES-1247,2,3,ACEPTABLE,18201,2022-12-07T00:00:00Z
ES-1248,4,5,EXCELENTE,18524,2023-10-05T00:00:00Z
ES-1249,3,2,ACEPTABLE,18079,2021-01-31T00:00:00Z
ES-125,4,5,EXCELENTE,4988273,2021-05-05T00:00:00Z
ES-1250,1,2,REGULAR,52082,2022-08-26T00:00:00Z
ES-1251,2,2,ACEPTABLE,16937,2021-08-16T00:00:00Z
ES-1252,2,1,REGULAR,18485,2023-10-30T00:00:00Z
ES-1253,1,1,DEFICIENTE,16781,2023-08-16T00:00:00Z
ES-1254,1,1,DEFICIENTE,16859,2021-11-21T00:00:00Z
ES-1255,1,2,REGULAR,17116,2021-10-21T00:00:00Z
ES-1256,3,4,MUY BUENO,52074,2022-08-27T00:00:00Z
ES-1257,2,1,REGULAR,16959,2023-06-20T00:00:00Z
ES-1258,3,2,ACEPTABLE,5241167,2021-04-25T00:00:00Z
ES-1259,4,4,EXCELENTE,17507,2023-08-25T00:00:00Z
ES-126,3,2,ACEPTABLE,7886327,2022-11-21T00:00:00Z
ES-1260,2,3,ACEPTABLE,16892,2022-12-14T00:00:00Z
ES-1261,2,2,ACEPTABLE,7126577,2023-03-17T00:00:00Z
ES-1262,3,3,MUY BUENO,18163,2022-06-25T00:00:00Z
ES-1263,1,1,DEFICIENTE,17119,2021-12-10T00:00:00Z
ES-1264,2,3,ACEPTABLE,17875,2023-09-12T00:00:00Z
ES-1265,4,5,EXCELENTE,9397047,2021-09-27T00:00:00Z
ES-1266,1,2,REGULAR,18377,2021-09-23T00:00:00Z
ES-1267,4,3,MUY BUENO,3573055,2023-10-21T00:00:00Z
ES-1268,2,2,ACEPTABLE,52228,2023-03-19T00:00:00Z
ES-1269,2,3,ACEPTABLE,5241167,2022-11-22T00:00:00Z
ES-127,1,2,REGULAR,18497,2022-02-02T00:00:00Z
ES-1270,3,3,MUY BUENO,18258,2023-02-19T00:00:00Z
ES-1271,5,5,EXCELENTE,5241168,2021-12-17T00:00:00Z
ES-1272,4,4,EXCELENTE,52088,2021-08-24T00:00:00Z
ES-1273,4,3,MUY BUENO,4749894,2022-03-31T00:00:00Z
ES-1274,5,5,EXCELENTE,17735,2023-04-23T00:00:00Z
ES-1275,4,3,MUY BUENO,5237130,2023-08-22T00:00:00Z
ES-1276,1,1,DEFICIENTE,17585,2023-11-03T00:00:00Z
ES-1277,2,1,REGULAR,8799532,2022-12-12T00:00:00Z
ES-1278,2,3,ACEPTABLE,16997,2022-11-29T00:00:00Z
ES-1279,5,5,EXCELENTE,17273,2021-02-06T00:00:00Z
ES-128,4,5,EXCELENTE,17760,2022-08-21T00:00:00Z
ES-1280,1,1,DEFICIENTE,7107707,2021-03-27T00:00:00Z
ES-1281,3,3,MUY BUENO,52167,2021-09-09T00:00:00Z
ES-1282,2,3,ACEPTABLE,18613,2022-05-22T00:00:00Z
ES-1283,4,4,EXCELENTE,8914015,2023-03-30T00:00:00Z
ES-1284,4,4,EXCELENTE,18255,2021-10-20T00:00:00Z
ES-1285,2,3,ACEPTABLE,18418,2021-04-17T00:00:00Z
ES-1286,1,2,REGULAR,5195568,2023-07-23T00:00:00Z
ES-1287,2,3,ACEPTABLE,18618,2023-01-20T00:00:00Z
ES-1288,5,5,EXCELENTE,18023,2021-10-29T00:00:00Z
ES-1289,4,4,EXCELENTE,17746,2021-12-11T00:00:00Z
ES-129,1,1,DEFICIENTE,17613,2022-03-10T00:00:00Z
ES-1290,5,4,EXCELENTE,18562,2023-08-15T00:00:00Z
ES-1291,4,4,EXCELENTE,18291,2023-10-20T00:00:00Z
ES-1292,3,3,MUY BUENO,16912,2023-08-25T00:00:00Z
ES-1293,3,4,MUY BUENO,6819623,2023-07-26T00:00:00Z
ES-1294,5,4,EXCELENTE,8914011,2023-07-15T00:00:00Z
ES-1295,4,3,MUY BUENO,18349,2021-03-22T00:00:00Z
ES-1296,2,2,ACEPTABLE,18210,2022-10-13T00:00:00Z
ES-1297,4,5,EXCELENTE,3991194,2023-03-03T00:00:00Z
ES-1298,4,5,EXCELENTE,17932,2022-10-05T00:00:00Z
ES-1299,1,1,DEFICIENTE,17902,2022-01-24T00:00:00Z
ES-13,5,5,EXCELENTE,16716,2023-09-15T00:00:00Z
ES-130,5,4,EXCELENTE,18212,2023-12-31T00:00:00Z
ES-1300,3,4,MUY BUENO,18082,2023-05-07T00:00:00Z
ES-1301,3,4,MUY BUENO,17613,2022-02-06T00:00:00Z
ES-1302,1,2,REGULAR,7356676,2021-05-19T00:00:00Z
ES-1303,4,3,MUY BUENO,5240112,2022-11-01T00:00:00Z
ES-1304,2,1,REGULAR,9179375,2021-11-23T00:00:00Z
ES-1305,3,4,MUY BUENO,17488,2021-05-27T00:00:00Z
ES-1306,4,4,EXCELENTE,17639,2022-08-12T00:00:00Z
ES-1307,5,5,EXCELENTE,17491,2023-05-14T00:00:00Z
ES-1308,4,5,EXCELENTE,18125,2022-03-25T00:00:00Z
ES-1309,1,1,DEFICIENTE,18601,2022-10-13T00:00:00Z
ES-131,4,4,EXCELENTE,17983,2023-01-23T00:00:00Z
ES-1310,5,4,EXCELENTE,52211,2023-04-18T00:00:00Z
ES-1311,5,4,EXCELENTE,17590,2021-07-07T00:00:00Z
ES-1312,2,2,ACEPTABLE,5231441,2022-09-16T00:00:00Z
ES-1313,3,3,MUY BUENO,16850,2022-04-09T00:00:00Z
ES-1314,1,1,DEFICIENTE,7126499,2023-01-09T00:00:00Z
ES-1315,4,5,EXCELENTE,6907760,2023-04-02T00:00:00Z
ES-1316,4,4,EXCELENTE,17069,2023-05-23T00:00:00Z
ES-1317,3,4,MUY BUENO,7024214,2023-07-23T00:00:00Z
ES-1318,5,5,EXCELENTE,17277,2022-02-08T00:00:00Z
ES-1319,3,3,MUY BUENO,17363,2022-12-13T00:00:00Z
ES-132,1,1,DEFICIENTE,7165658,2021-09-24T00:00:00Z
ES-1320,3,3,MUY BUENO,17030,2021-11-09T00:00:00Z
ES-1321,1,1,DEFICIENTE,18526,2022-01-20T00:00:00Z
ES-1322,4,5,EXCELENTE,18510,2022-01-27T00:00:00Z
ES-1323,1,1,DEFICIENTE,16711,2023-10-20T00:00:00Z
ES-1324,4,5,EXCELENTE,5075483,2021-09-04T00:00:00Z
ES-1325,4,4,EXCELENTE,3740788,2021-10-04T00:00:00Z
ES-1326,1,2,REGULAR,52211,2022-03-10T00:00:00Z
ES-1327,3,4,MUY BUENO,17501,2021-01-25T00:00:00Z
ES-1328,1,2,REGULAR,17199,2022-03-13T00:00:00Z
ES-1329,2,2,ACEPTABLE,17141,2021-05-02T00:00:00Z
ES-133,1,1,DEFICIENTE,5219935,2022-11-03T00:00:00Z
ES-1330,1,1,DEFICIENTE,17663,2022-07-17T00:00:00Z
ES-1331,4,4,EXCELENTE,17692,2023-03-20T00:00:00Z
ES-1332,5,5,EXCELENTE,16889,2022-12-29T00:00:00Z
ES-1333,1,1,DEFICIENTE,18616,2021-11-26T00:00:00Z
ES-1334,1,1,DEFICIENTE,18612,2023-02-09T00:00:00Z
ES-1335,2,2,ACEPTABLE,18529,2023-07-29T00:00:00Z
ES-1336,5,5,EXCELENTE,17081,2022-01-28T00:00:00Z
ES-1337,5,5,EXCELENTE,16868,2021-05-07T00:00:00Z
ES-1338,3,3,MUY BUENO,17776,2022-01-12T00:00:00Z
ES-1339,1,2,REGULAR,16753,2023-07-24T00:00:00Z
ES-134,2,1,REGULAR,52078,2023-10-27T00:00:00Z
ES-1340,4,5,EXCELENTE,17451,2022-04-13T00:00:00Z
ES-1341,1,2,REGULAR,16902,2021-04-24T00:00:00Z
