_id,FECHA_INTERVENCION,TIPO_INTERVENCION,ESTADO_PREVIO,ESTADO_POSTERIOR,JUEGOID,TIPO,COMENTARIOS
MNT-00024,2024-06-13T00:00:00Z,CORRECTIVO,BUENO,REGULAR,20237,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 24
MNT-00025,2024-07-12T00:00:00Z,CORRECTIVO,REGULAR,MALO,3997060,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 25
MNT-00026,2024-05-20T00:00:00Z,EMERGENCIA,MALO,MALO,5241083,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 26
MNT-00027,2024-08-19T00:00:00Z,PREVENTIVO,BUENO,BUENO,9497226,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 27
MNT-00028,2024-01-03T00:00:00Z,CORRECTIVO,REGULAR,BUENO,9271148,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 28
MNT-00029,2024-08-05T00:00:00Z,PREVENTIVO,MALO,BUENO,33591,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 29
MNT-00030,2024-01-02T00:00:00Z,CORRECTIVO,BUENO,MALO,33491,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 30
MNT-00031,2023-10-21T00:00:00Z,CORRECTIVO,REGULAR,BUENO,8888577,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 31
MNT-00032,2024-10-09T00:00:00Z,CORRECTIVO,MALO,REGULAR,18703,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 32
MNT-00033,2024-05-28T00:00:00Z,EMERGENCIA,MALO,REGULAR,8928074,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 33
MNT-00034,2024-02-03T00:00:00Z,CORRECTIVO,MALO,BUENO,21749,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 34
MNT-00035,2024-06-23T00:00:00Z,CORRECTIVO,BUENO,BUENO,4737873,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 35
MNT-00036,2024-09-07T00:00:00Z,CORRECTIVO,REGULAR,BUENO,35182,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 36
MNT-00037,2024-02-08T00:00:00Z,CORRECTIVO,MALO,MALO,8820183,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 37
MNT-00038,2024-03-16T00:00:00Z,PREVENTIVO,REGULAR,MALO,19562,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 38
MNT-00039,2024-05-16T00:00:00Z,CORRECTIVO,REGULAR,MALO,32653,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 39
MNT-00040,2023-10-29T00:00:00Z,PREVENTIVO,MALO,BUENO,34142,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 40
MNT-00041,2024-05-19T00:00:00Z,EMERGENCIA,REGULAR,BUENO,3963370,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 41
MNT-00042,2024-05-09T00:00:00Z,CORRECTIVO,REGULAR,BUENO,21442,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 42
MNT-00043,2024-07-08T00:00:00Z,CORRECTIVO,REGULAR,BUENO,6878949,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 43
MNT-00044,2024-09-05T00:00:00Z,PREVENTIVO,REGULAR,BUENO,59202,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 44
MNT-00045,2024-05-20T00:00:00Z,PREVENTIVO,MALO,REGULAR,7924749,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 45
MNT-00046,2023-11-28T00:00:00Z,EMERGENCIA,BUENO,BUENO,9289730,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 46
MNT-00047,2024-09-04T00:00:00Z,EMERGENCIA,REGULAR,BUENO,19866,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 47
MNT-00048,2024-06-23T00:00:00Z,CORRECTIVO,BUENO,REGULAR,9052567,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 48
MNT-00049,2024-01-31T00:00:00Z,CORRECTIVO,REGULAR,MALO,3530673,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 49
MNT-00050,2024-04-28T00:00:00Z,PREVENTIVO,BUENO,MALO,59740,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 50
MNT-00051,2024-01-13T00:00:00Z,CORRECTIVO,BUENO,REGULAR,5241064,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 51
MNT-00052,2024-04-01T00:00:00Z,EMERGENCIA,BUENO,MALO,9157760,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 52
MNT-00053,2024-04-27T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,21140,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 53
MNT-00054,2024-06-09T00:00:00Z,EMERGENCIA,BUENO,BUENO,24703,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 54
MNT-00055,2024-09-23T00:00:00Z,EMERGENCIA,MALO,MALO,59353,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 55
MNT-00056,2023-09-11T00:00:00Z,PREVENTIVO,MALO,MALO,6878766,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 56
MNT-00057,2024-05-26T00:00:00Z,EMERGENCIA,MALO,BUENO,4985742,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 57
MNT-00058,2024-07-23T00:00:00Z,EMERGENCIA,REGULAR,MALO,21681,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 58
MNT-00059,2024-01-18T00:00:00Z,PREVENTIVO,MALO,REGULAR,21688,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 59
MNT-00060,2024-08-01T00:00:00Z,CORRECTIVO,MALO,REGULAR,9389678,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 60
MNT-00061,2024-08-03T00:00:00Z,PREVENTIVO,BUENO,MALO,9129831,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 61
MNT-00062,2024-03-11T00:00:00Z,PREVENTIVO,BUENO,MALO,25588,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 62
MNT-00063,2024-04-04T00:00:00Z,PREVENTIVO,BUENO,BUENO,59771,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 63
MNT-00064,2023-10-20T00:00:00Z,CORRECTIVO,REGULAR,BUENO,25029,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 64
MNT-00065,2024-05-15T00:00:00Z,CORRECTIVO,MALO,MALO,3580731,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 65
MNT-00066,2024-07-27T00:00:00Z,PREVENTIVO,REGULAR,MALO,4750002,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 66
MNT-00067,2024-02-27T00:00:00Z,PREVENTIVO,MALO,BUENO,21092,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 67
MNT-00068,2024-01-08T00:00:00Z,EMERGENCIA,BUENO,MALO,7872672,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 68
MNT-00069,2023-11-16T00:00:00Z,EMERGENCIA,BUENO,MALO,21339,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 69
MNT-00070,2024-09-28T00:00:00Z,PREVENTIVO,REGULAR,BUENO,3573457,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 70
MNT-00071,2024-03-25T00:00:00Z,PREVENTIVO,MALO,MALO,59163,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 71
MNT-00072,2023-10-28T00:00:00Z,EMERGENCIA,REGULAR,BUENO,59925,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 72
MNT-00073,2024-03-24T00:00:00Z,CORRECTIVO,REGULAR,BUENO,33727,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 73
MNT-00074,2024-02-07T00:00:00Z,CORRECTIVO,MALO,MALO,9397139,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 74
MNT-00075,2024-05-18T00:00:00Z,CORRECTIVO,MALO,REGULAR,25630,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 75
MNT-00076,2024-06-25T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,52881,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 76
MNT-00077,2024-05-31T00:00:00Z,EMERGENCIA,REGULAR,BUENO,32918,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 77
MNT-00078,2024-03-19T00:00:00Z,PREVENTIVO,BUENO,BUENO,25696,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 78
MNT-00079,2024-04-25T00:00:00Z,CORRECTIVO,BUENO,MALO,32726,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 79
MNT-00080,2024-05-22T00:00:00Z,CORRECTIVO,REGULAR,MALO,9492978,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 80
MNT-00081,2023-10-28T00:00:00Z,PREVENTIVO,MALO,MALO,58942,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 81
MNT-00082,2024-10-04T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,58669,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 82
MNT-00083,2024-09-13T00:00:00Z,EMERGENCIA,BUENO,REGULAR,3568984,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 83
MNT-00084,2024-01-23T00:00:00Z,CORRECTIVO,BUENO,REGULAR,8820187,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 84
MNT-00085,2023-11-08T00:00:00Z,PREVENTIVO,REGULAR,BUENO,58807,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 85
MNT-00086,2024-11-10T00:00:00Z,PREVENTIVO,MALO,MALO,58331,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 86
MNT-00087,2024-09-25T00:00:00Z,PREVENTIVO,REGULAR,BUENO,20243,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 87
MNT-00088,2024-06-14T00:00:00Z,PREVENTIVO,MALO,REGULAR,9177751,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 88
MNT-00089,2024-01-19T00:00:00Z,EMERGENCIA,REGULAR,BUENO,4992011,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 89
MNT-00090,2023-12-13T00:00:00Z,CORRECTIVO,BUENO,REGULAR,4988363,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 90
MNT-00091,2023-10-21T00:00:00Z,EMERGENCIA,BUENO,MALO,33142,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 91
MNT-00092,2024-02-04T00:00:00Z,CORRECTIVO,MALO,BUENO,60137,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 92
MNT-00093,2024-06-21T00:00:00Z,EMERGENCIA,REGULAR,BUENO,5025124,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 93
MNT-00094,2024-01-19T00:00:00Z,EMERGENCIA,REGULAR,MALO,59883,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 94
MNT-00095,2024-02-16T00:00:00Z,EMERGENCIA,MALO,BUENO,34743,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 95
MNT-00096,2023-10-28T00:00:00Z,PREVENTIVO,REGULAR,MALO,7895400,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 96
MNT-00097,2024-10-07T00:00:00Z,EMERGENCIA,MALO,BUENO,8817614,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 97
MNT-00098,2024-05-10T00:00:00Z,EMERGENCIA,REGULAR,MALO,7672874,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 98
MNT-00099,2024-04-03T00:00:00Z,CORRECTIVO,REGULAR,REGULAR,7588210,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 99
MNT-00100,2024-01-26T00:00:00Z,CORRECTIVO,BUENO,REGULAR,60020,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 100
MNT-00101,2024-06-23T00:00:00Z,EMERGENCIA,REGULAR,BUENO,5174671,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 101
MNT-00102,2024-03-08T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,58499,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 102
MNT-00103,2024-09-27T00:00:00Z,PREVENTIVO,MALO,MALO,35152,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 103
MNT-00104,2024-06-17T00:00:00Z,CORRECTIVO,MALO,REGULAR,59016,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 104
MNT-00105,2024-07-04T00:00:00Z,EMERGENCIA,REGULAR,MALO,3568696,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 105
MNT-00106,2023-12-23T00:00:00Z,CORRECTIVO,REGULAR,MALO,21125,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 106
MNT-00107,2024-06-03T00:00:00Z,CORRECTIVO,REGULAR,BUENO,5241059,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 107
MNT-00108,2024-08-07T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,8941054,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 108
MNT-00109,2023-12-12T00:00:00Z,PREVENTIVO,BUENO,BUENO,5658100,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 109
MNT-00110,2024-01-25T00:00:00Z,EMERGENCIA,MALO,BUENO,5657902,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 110
MNT-00111,2024-05-30T00:00:00Z,CORRECTIVO,REGULAR,REGULAR,25074,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 111
MNT-00112,2024-07-07T00:00:00Z,CORRECTIVO,MALO,BUENO,59359,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 112
MNT-00113,2024-03-02T00:00:00Z,EMERGENCIA,MALO,BUENO,20749,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 113
MNT-00114,2024-11-02T00:00:00Z,PREVENTIVO,MALO,BUENO,6878958,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 114
MNT-00115,2024-09-10T00:00:00Z,CORRECTIVO,MALO,REGULAR,58490,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 115
MNT-00116,2024-04-04T00:00:00Z,EMERGENCIA,MALO,BUENO,7934559,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 116
MNT-00117,2023-12-16T00:00:00Z,EMERGENCIA,BUENO,BUENO,6761239,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 117
MNT-00118,2024-07-18T00:00:00Z,PREVENTIVO,MALO,REGULAR,6778176,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 118
MNT-00119,2023-11-09T00:00:00Z,PREVENTIVO,REGULAR,MALO,9048980,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 119
MNT-00120,2024-10-10T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,6878761,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 120
MNT-00121,2024-01-21T00:00:00Z,PREVENTIVO,MALO,REGULAR,19718,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 121
MNT-00122,2024-03-31T00:00:00Z,PREVENTIVO,MALO,BUENO,4988105,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 122
MNT-00123,2024-01-30T00:00:00Z,CORRECTIVO,REGULAR,MALO,21087,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 123
MNT-00124,2023-10-18T00:00:00Z,CORRECTIVO,REGULAR,MALO,21536,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 124
MNT-00125,2024-09-24T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,20046,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 125
MNT-00126,2023-11-15T00:00:00Z,CORRECTIVO,BUENO,REGULAR,21007,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 126
MNT-00127,2023-12-06T00:00:00Z,CORRECTIVO,MALO,REGULAR,19426,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 127
MNT-00128,2024-11-02T00:00:00Z,PREVENTIVO,BUENO,MALO,20187,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 128
MNT-00129,2024-06-09T00:00:00Z,PREVENTIVO,MALO,BUENO,7927325,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 129
MNT-00130,2024-07-18T00:00:00Z,PREVENTIVO,MALO,MALO,22445,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 130
MNT-00131,2024-08-28T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,33208,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 131
MNT-00132,2024-09-10T00:00:00Z,PREVENTIVO,REGULAR,REGULAR,5249944,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 132
MNT-00133,2024-07-22T00:00:00Z,CORRECTIVO,BUENO,REGULAR,20585,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 133
MNT-00134,2024-05-15T00:00:00Z,EMERGENCIA,REGULAR,BUENO,8971301,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 134
MNT-00135,2023-12-17T00:00:00Z,PREVENTIVO,BUENO,BUENO,9177931,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 135
MNT-00136,2024-04-14T00:00:00Z,CORRECTIVO,REGULAR,MALO,5240867,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 136
MNT-00137,2024-01-01T00:00:00Z,PREVENTIVO,REGULAR,BUENO,58294,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 137
MNT-00138,2024-08-01T00:00:00Z,PREVENTIVO,MALO,BUENO,60060,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 138
MNT-00139,2024-06-14T00:00:00Z,PREVENTIVO,MALO,REGULAR,7792012,QUEJA_USUARIO,NAN
MNT-00140,2024-01-30T00:00:00Z,PREVENTIVO,REGULAR,BUENO,33703,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 140
MNT-00141,2023-11-16T00:00:00Z,CORRECTIVO,BUENO,BUENO,7802478,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 141
MNT-00142,2023-11-02T00:00:00Z,PREVENTIVO,REGULAR,BUENO,24922,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 142
MNT-00143,2024-03-18T00:00:00Z,CORRECTIVO,BUENO,MALO,33593,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 143
MNT-00144,2024-01-29T00:00:00Z,EMERGENCIA,MALO,REGULAR,8987321,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 144
MNT-00145,2024-09-25T00:00:00Z,EMERGENCIA,BUENO,BUENO,9493030,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 145
MNT-00146,2024-02-23T00:00:00Z,PREVENTIVO,MALO,REGULAR,7240162,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 146
MNT-00147,2024-07-22T00:00:00Z,PREVENTIVO,MALO,BUENO,21861,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 147
MNT-00148,2024-02-15T00:00:00Z,EMERGENCIA,REGULAR,REGULAR,4737960,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 148
MNT-00149,2024-08-12T00:00:00Z,PREVENTIVO,REGULAR,REGULAR,5231453,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 149
MNT-00150,2024-09-08T00:00:00Z,PREVENTIVO,REGULAR,REGULAR,24872,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 150
MNT-00151,2024-01-19T00:00:00Z,EMERGENCIA,BUENO,BUENO,33550,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 151
MNT-00152,2024-10-06T00:00:00Z,PREVENTIVO,BUENO,BUENO,58615,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 152
MNT-00153,2023-11-28T00:00:00Z,EMERGENCIA,MALO,MALO,24746,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 153
MNT-00154,2024-02-24T00:00:00Z,PREVENTIVO,REGULAR,REGULAR,9295465,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 154
MNT-00155,2024-01-28T00:00:00Z,CORRECTIVO,MALO,BUENO,9184890,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 155
MNT-00156,2023-11-08T00:00:00Z,PREVENTIVO,MALO,REGULAR,4960333,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 156
MNT-00157,2024-05-08T00:00:00Z,EMERGENCIA,BUENO,MALO,4730882,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 157
MNT-00158,2024-02-07T00:00:00Z,CORRECTIVO,REGULAR,BUENO,58788,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 158
MNT-00159,2024-02-06T00:00:00Z,CORRECTIVO,MALO,REGULAR,18846,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 159
MNT-00160,2024-01-21T00:00:00Z,PREVENTIVO,REGULAR,BUENO,33976,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 160
MNT-00161,2024-03-28T00:00:00Z,PREVENTIVO,MALO,MALO,19533,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 161
MNT-00162,2024-06-22T00:00:00Z,EMERGENCIA,REGULAR,MALO,4987839,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 162
MNT-00163,2023-06-11T00:00:00Z,CORRECTIVO,BUENO,MALO,4987794,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 163
MNT-00164,2024-05-01T00:00:00Z,CORRECTIVO,BUENO,MALO,24788,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 164
MNT-00165,2024-08-03T00:00:00Z,EMERGENCIA,MALO,MALO,3568750,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 165
MNT-00166,2024-09-01T00:00:00Z,CORRECTIVO,REGULAR,BUENO,5658962,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 166
MNT-00167,2024-06-07T00:00:00Z,CORRECTIVO,BUENO,BUENO,3994638,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 167
MNT-00168,2023-01-12T00:00:00Z,CORRECTIVO,REGULAR,BUENO,19215,QUEJA_USUARIO,COMENTARIO SOBRE EL MANTENIMIENTO 168
MNT-00169,2024-04-16T00:00:00Z,CORRECTIVO,BUENO,REGULAR,33282,PREVENTIVO,COMENTARIO SOBRE EL MANTENIMIENTO 169
