_id,FECHA_REPORTE,TIPO_INCIDENTE,GRAVEDAD,AREARECREATIVAID
IS-1065,2023-03-12T00:00:00Z,ACCIDENTE,ALTA,17267
IS-1066,2021-05-17T00:00:00Z,CAIDA,CRITICA,3566346
IS-1067,2022-01-17T00:00:00Z,VANDALISMO,CRITICA,16847
IS-1068,2020-12-01T00:00:00Z,ROBO,BAJA,18272
IS-1069,2020-07-09T00:00:00Z,ROBO,CRITICA,16997
IS-107,2021-07-03T00:00:00Z,ACCIDENTE,BAJA,52217
IS-1070,2023-08-08T00:00:00Z,DANO ESTRUCTURAL,MEDIA,17015
IS-1071,2020-07-28T00:00:00Z,ACCIDENTE,MEDIA,17887
IS-1072,2023-10-08T00:00:00Z,ROBO,BAJA,16928
IS-1073,2022-09-17T00:00:00Z,VANDALISMO,BAJA,5653899
IS-1074,2021-05-01T00:00:00Z,ROBO,CRITICA,18592
IS-1075,2021-06-17T00:00:00Z,ROBO,MEDIA,8775337
IS-1076,2023-10-16T00:00:00Z,DANO ESTRUCTURAL,ALTA,5075332
IS-1077,2024-08-03T00:00:00Z,CAIDA,ALTA,3566363
IS-1078,2024-08-10T00:00:00Z,ACCIDENTE,CRITICA,16822
IS-1079,2022-06-16T00:00:00Z,VANDALISMO,BAJA,18250
IS-108,2020-03-20T00:00:00Z,CAIDA,ALTA,5175231
IS-1080,2021-04-13T00:00:00Z,ACCIDENTE,MEDIA,16724
IS-1081,2023-05-21T00:00:00Z,ROBO,ALTA,17212
IS-1082,2021-05-18T00:00:00Z,CAIDA,ALTA,17630
IS-1083,2020-03-13T00:00:00Z,CAIDA,CRITICA,17395
IS-1084,2024-06-04T00:00:00Z,DANO ESTRUCTURAL,MEDIA,18292
IS-1085,2021-01-28T00:00:00Z,CAIDA,CRITICA,17796
IS-1086,2021-02-11T00:00:00Z,ACCIDENTE,ALTA,18287
IS-1087,2023-08-25T00:00:00Z,ROBO,BAJA,17440
IS-1088,2023-10-25T00:00:00Z,CAIDA,CRITICA,3960567
IS-1089,2022-01-15T00:00:00Z,ROBO,CRITICA,17009
IS-109,2021-10-24T00:00:00Z,ACCIDENTE,BAJA,17597
IS-1090,2022-10-28T00:00:00Z,DANO ESTRUCTURAL,MEDIA,17180
IS-1091,2022-04-22T00:00:00Z,ACCIDENTE,CRITICA,17435
IS-1092,2024-09-15T00:00:00Z,ROBO,MEDIA,7761231
IS-1093,2019-12-05T00:00:00Z,VANDALISMO,ALTA,451521
IS-1094,2024-03-26T00:00:00Z,CAIDA,ALTA,17754
IS-1095,2021-02-16T00:00:00Z,ROBO,BAJA,18060
IS-1096,2024-05-04T00:00:00Z,VANDALISMO,CRITICA,17600
IS-1097,2024-05-19T00:00:00Z,ACCIDENTE,MEDIA,18276
IS-1098,2020-09-28T00:00:00Z,CAIDA,BAJA,17654
IS-1099,2022-03-21T00:00:00Z,ACCIDENTE,BAJA,16678
IS-11,2023-11-11T00:00:00Z,ACCIDENTE,MEDIA,18354
IS-110,2024-09-18T00:00:00Z,ROBO,BAJA,18470
IS-1100,2023-06-06T00:00:00Z,DANO ESTRUCTURAL,MEDIA,4749894
IS-1101,2024-02-20T00:00:00Z,CAIDA,BAJA,5240286
IS-1102,2024-08-14T00:00:00Z,CAIDA,CRITICA,17162
IS-1103,2020-07-12T00:00:00Z,ACCIDENTE,ALTA,17503
IS-1104,2020-09-10T00:00:00Z,ROBO,CRITICA,16896
IS-1105,2020-10-14T00:00:00Z,CAIDA,ALTA,52230
IS-1106,2024-06-21T00:00:00Z,ROBO,MEDIA,17301
IS-1107,2019-10-20T00:00:00Z,CAIDA,CRITICA,18054
IS-1108,2021-10-17T00:00:00Z,DANO ESTRUCTURAL,ALTA,7247845
IS-1109,2023-08-04T00:00:00Z,ACCIDENTE,ALTA,17068
IS-111,2021-03-16T00:00:00Z,VANDALISMO,BAJA,52111
IS-1110,2024-02-19T00:00:00Z,DANO ESTRUCTURAL,BAJA,18272
IS-1111,2020-10-14T00:00:00Z,CAIDA,CRITICA,17725
IS-1112,2021-02-08T00:00:00Z,VANDALISMO,CRITICA,3568306
IS-1113,2023-04-14T00:00:00Z,ACCIDENTE,MEDIA,17270
IS-1114,2020-07-15T00:00:00Z,ROBO,ALTA,17076
IS-1115,2024-07-12T00:00:00Z,DANO ESTRUCTURAL,BAJA,5220743
IS-1116,2023-04-15T00:00:00Z,ACCIDENTE,ALTA,17953
IS-1117,2023-08-13T00:00:00Z,ROBO,ALTA,17651
IS-1118,2020-12-22T00:00:00Z,ROBO,BAJA,18436
IS-1119,2023-02-27T00:00:00Z,VANDALISMO,CRITICA,17058
IS-112,2023-04-29T00:00:00Z,CAIDA,CRITICA,17954
IS-1120,2024-03-03T00:00:00Z,VANDALISMO,ALTA,4795654
IS-1121,2019-11-30T00:00:00Z,ROBO,ALTA,17768
IS-1122,2020-09-29T00:00:00Z,ACCIDENTE,MEDIA,52086
IS-1123,2024-10-02T00:00:00Z,DANO ESTRUCTURAL,MEDIA,17123
IS-1124,2021-08-20T00:00:00Z,ACCIDENTE,BAJA,16925
IS-1125,2019-12-23T00:00:00Z,CAIDA,ALTA,17927
IS-1126,2024-02-29T00:00:00Z,VANDALISMO,MEDIA,17516
IS-1127,2021-01-06T00:00:00Z,DANO ESTRUCTURAL,BAJA,18185
IS-1128,2020-09-23T00:00:00Z,DANO ESTRUCTURAL,ALTA,17757
IS-1129,2022-07-16T00:00:00Z,VANDALISMO,BAJA,17694
IS-113,2021-09-14T00:00:00Z,VANDALISMO,MEDIA,18295
IS-1130,2021-03-25T00:00:00Z,DANO ESTRUCTURAL,CRITICA,17330
IS-1131,2019-05-11T00:00:00Z,DANO ESTRUCTURAL,BAJA,16663
IS-1132,2024-01-01T00:00:00Z,ACCIDENTE,BAJA,17688
IS-1133,2023-08-09T00:00:00Z,VANDALISMO,CRITICA,7896504
IS-1134,2021-12-10T00:00:00Z,VANDALISMO,BAJA,17338
IS-1135,2024-01-28T00:00:00Z,CAIDA,MEDIA,18056
IS-1136,2020-08-17T00:00:00Z,CAIDA,MEDIA,5071674
IS-1137,2023-01-23T00:00:00Z,VANDALISMO,CRITICA,17122
IS-1138,2022-05-27T00:00:00Z,VANDALISMO,CRITICA,18311
IS-1139,2020-05-01T00:00:00Z,ROBO,CRITICA,17638
IS-114,2022-07-30T00:00:00Z,CAIDA,CRITICA,16825
IS-1140,2021-04-19T00:00:00Z,ROBO,CRITICA,5246182
IS-1141,2023-01-20T00:00:00Z,CAIDA,CRITICA,52170
IS-1142,2022-07-25T00:00:00Z,DANO ESTRUCTURAL,MEDIA,8780154
IS-1143,2024-09-16T00:00:00Z,ROBO,CRITICA,17891
IS-1144,2022-12-22T00:00:00Z,ROBO,MEDIA,17837
IS-1145,2020-05-02T00:00:00Z,ACCIDENTE,BAJA,18637
IS-1146,2023-09-19T00:00:00Z,DANO ESTRUCTURAL,CRITICA,17522
IS-1147,2023-04-16T00:00:00Z,ACCIDENTE,ALTA,16774
IS-1148,2021-06-16T00:00:00Z,DANO ESTRUCTURAL,ALTA,18286
IS-1149,2022-07-27T00:00:00Z,VANDALISMO,CRITICA,7761231
IS-115,2021-12-23T00:00:00Z,CAIDA,ALTA,17477
IS-1150,2022-01-06T00:00:00Z,CAIDA,MEDIA,18151
IS-1151,2022-09-06T00:00:00Z,CAIDA,ALTA,17842
IS-1152,2023-10-04T00:00:00Z,ACCIDENTE,ALTA,5174681
IS-1153,2022-12-23T00:00:00Z,VANDALISMO,ALTA,18337
IS-1154,2022-07-21T00:00:00Z,DANO ESTRUCTURAL,BAJA,17315
IS-1155,2023-08-18T00:00:00Z,ROBO,BAJA,16940
IS-1156,2022-01-06T00:00:00Z,VANDALISMO,ALTA,16880
IS-1157,2021-06-22T00:00:00Z,DANO ESTRUCTURAL,CRITICA,17632
IS-1158,2023-09-14T00:00:00Z,ROBO,ALTA,16889
IS-1159,2022-12-13T00:00:00Z,ROBO,BAJA,17194
IS-116,2021-10-21T00:00:00Z,ROBO,BAJA,7126577
IS-1160,2022-10-13T00:00:00Z,DANO ESTRUCTURAL,MEDIA,7107699
IS-1161,2023-09-26T00:00:00Z,CAIDA,ALTA,5237120
IS-1162,2021-02-19T00:00:00Z,ROBO,BAJA,17284
IS-1163,2024-06-24T00:00:00Z,ACCIDENTE,MEDIA,18387
IS-1164,2022-07-16T00:00:00Z,ROBO,CRITICA,16953
IS-1165,2020-01-26T00:00:00Z,VANDALISMO,BAJA,17832
IS-1166,2023-09-28T00:00:00Z,CAIDA,BAJA,18327
IS-1167,2023-03-09T00:00:00Z,ACCIDENTE,ALTA,16813
IS-1168,2021-08-16T00:00:00Z,DANO ESTRUCTURAL,MEDIA,5246194
IS-1169,2023-06-04T00:00:00Z,DANO ESTRUCTURAL,ALTA,17768
IS-117,2022-04-24T00:00:00Z,CAIDA,MEDIA,17109
IS-1170,2022-05-14T00:00:00Z,CAIDA,ALTA,5237133
IS-1171,2023-07-01T00:00:00Z,ACCIDENTE,CRITICA,17072
IS-1172,2021-09-24T00:00:00Z,ACCIDENTE,CRITICA,17858
IS-1173,2021-03-31T00:00:00Z,ROBO,MEDIA,18172
IS-1174,2024-01-19T00:00:00Z,VANDALISMO,ALTA,52185
IS-1175,2023-05-20T00:00:00Z,DANO ESTRUCTURAL,BAJA,8799601
IS-1176,2024-10-08T00:00:00Z,ACCIDENTE,BAJA,18029
IS-1177,2020-05-02T00:00:00Z,CAIDA,BAJA,18106
IS-1178,2020-04-26T00:00:00Z,CAIDA,ALTA,5174650
IS-1179,2022-05-17T00:00:00Z,VANDALISMO,ALTA,17064
IS-118,2020-01-18T00:00:00Z,VANDALISMO,MEDIA,17915
IS-1180,2021-11-30T00:00:00Z,ROBO,BAJA,4737941
IS-1181,2020-04-11T00:00:00Z,ROBO,BAJA,17822
IS-1182,2023-07-11T00:00:00Z,CAIDA,ALTA,18489
IS-1183,2020-05-23T00:00:00Z,ACCIDENTE,CRITICA,18024
IS-1184,2020-01-02T00:00:00Z,CAIDA,ALTA,17486
IS-1185,2021-04-27T00:00:00Z,ACCIDENTE,CRITICA,52175
IS-1186,2021-05-29T00:00:00Z,ROBO,BAJA,8799540
IS-1187,2021-04-09T00:00:00Z,DANO ESTRUCTURAL,BAJA,52122
IS-1188,2023-12-26T00:00:00Z,ACCIDENTE,BAJA,17287
IS-1189,2024-08-04T00:00:00Z,VANDALISMO,MEDIA,18498
IS-119,2023-01-01T00:00:00Z,DANO ESTRUCTURAL,CRITICA,16911
IS-1190,2024-10-08T00:00:00Z,ROBO,MEDIA,7248141
IS-1191,2024-08-26T00:00:00Z,ROBO,MEDIA,17529
IS-1192,2022-08-24T00:00:00Z,ROBO,CRITICA,17601
IS-1193,2021-01-03T00:00:00Z,DANO ESTRUCTURAL,ALTA,18265
IS-1194,2022-12-26T00:00:00Z,ROBO,MEDIA,16920
IS-1195,2024-02-10T00:00:00Z,ROBO,BAJA,17018
IS-1196,2024-06-22T00:00:00Z,ACCIDENTE,MEDIA,5075483
IS-1197,2021-03-20T00:00:00Z,ACCIDENTE,BAJA,7107704
IS-1198,2023-08-30T00:00:00Z,CAIDA,ALTA,18611
IS-1199,2022-08-18T00:00:00Z,VANDALISMO,MEDIA,5246197
IS-12,2020-12-25T00:00:00Z,DANO ESTRUCTURAL,MEDIA,17446
IS-120,2021-08-19T00:00:00Z,CAIDA,ALTA,16811
IS-1200,2023-08-21T00:00:00Z,ACCIDENTE,CRITICA,17528
IS-1201,2024-08-03T00:00:00Z,ACCIDENTE,CRITICA,17671
IS-1202,2024-09-10T00:00:00Z,CAIDA,CRITICA,17209
IS-1203,2023-07-11T00:00:00Z,DANO ESTRUCTURAL,CRITICA,18302
IS-1204,2021-02-14T00:00:00Z,DANO ESTRUCTURAL,CRITICA,5213821
IS-1205,2021-10-14T00:00:00Z,DANO ESTRUCTURAL,MEDIA,17333
IS-1206,2022-08-13T00:00:00Z,ROBO,ALTA,18344
IS-1207,2021-03-06T00:00:00Z,ACCIDENTE,ALTA,18472
IS-1208,2024-09-17T00:00:00Z,DANO ESTRUCTURAL,BAJA,16763
IS-1209,2022-10-29T00:00:00Z,ACCIDENTE,BAJA,5195385
IS-121,2021-09-16T00:00:00Z,ACCIDENTE,BAJA,17413
IS-1210,2024-03-20T00:00:00Z,ROBO,CRITICA,16683
IS-1211,2023-08-25T00:00:00Z,CAIDA,ALTA,16721
IS-1212,2019-10-27T00:00:00Z,ROBO,MEDIA,5237108
IS-1213,2020-03-18T00:00:00Z,DANO ESTRUCTURAL,BAJA,16865
IS-1214,2021-06-12T00:00:00Z,ROBO,CRITICA,16992
IS-1215,2020-10-29T00:00:00Z,DANO ESTRUCTURAL,MEDIA,17335
IS-1216,2019-12-25T00:00:00Z,ACCIDENTE,ALTA,18245
IS-1217,2021-02-07T00:00:00Z,VANDALISMO,BAJA,18382
IS-1218,2023-08-28T00:00:00Z,DANO ESTRUCTURAL,ALTA,9492997
IS-1219,2023-05-01T00:00:00Z,DANO ESTRUCTURAL,CRITICA,16933
IS-122,2019-12-19T00:00:00Z,DANO ESTRUCTURAL,MEDIA,16853
IS-1220,2021-05-13T00:00:00Z,ACCIDENTE,ALTA,16843
IS-1221,2023-07-17T00:00:00Z,ACCIDENTE,CRITICA,17093
IS-1222,2022-01-15T00:00:00Z,DANO ESTRUCTURAL,BAJA,461181
IS-1223,2022-07-03T00:00:00Z,CAIDA,BAJA,17076
IS-1224,2020-05-15T00:00:00Z,CAIDA,ALTA,18346
IS-1225,2021-11-30T00:00:00Z,CAIDA,MEDIA,18503
IS-1226,2021-02-16T00:00:00Z,ACCIDENTE,ALTA,9046339
IS-1227,2020-10-16T00:00:00Z,ROBO,MEDIA,18200
IS-1228,2023-05-30T00:00:00Z,CAIDA,ALTA,5241169
IS-1229,2024-10-01T00:00:00Z,DANO ESTRUCTURAL,MEDIA,52125
IS-123,2020-01-30T00:00:00Z,ACCIDENTE,MEDIA,16718
IS-1230,2022-07-04T00:00:00Z,ACCIDENTE,BAJA,18144
IS-1231,2023-03-26T00:00:00Z,VANDALISMO,BAJA,17489
IS-1232,2019-12-24T00:00:00Z,DANO ESTRUCTURAL,ALTA,16724
IS-1233,2024-07-15T00:00:00Z,ROBO,CRITICA,7248199
IS-1234,2023-09-04T00:00:00Z,ACCIDENTE,CRITICA,9237483
IS-1235,2022-11-16T00:00:00Z,ROBO,ALTA,18450
IS-1236,2020-10-13T00:00:00Z,DANO ESTRUCTURAL,CRITICA,18252
IS-1237,2020-06-22T00:00:00Z,CAIDA,ALTA,17359
IS-1238,2021-02-13T00:00:00Z,ACCIDENTE,CRITICA,18409
IS-1239,2023-03-26T00:00:00Z,ROBO,BAJA,52153
IS-124,2024-07-09T00:00:00Z,VANDALISMO,MEDIA,16822
IS-1240,2023-02-16T00:00:00Z,CAIDA,MEDIA,18555
IS-1241,2020-05-30T00:00:00Z,VANDALISMO,ALTA,52224
IS-1242,2021-01-09T00:00:00Z,CAIDA,CRITICA,17615
IS-1243,2021-09-09T00:00:00Z,ROBO,CRITICA,18233
IS-1244,2022-02-01T00:00:00Z,CAIDA,MEDIA,17853
IS-1245,2020-10-19T00:00:00Z,DANO ESTRUCTURAL,CRITICA,16835
IS-1246,2023-10-25T00:00:00Z,ROBO,CRITICA,17091
IS-1247,2022-06-10T00:00:00Z,ACCIDENTE,BAJA,17874
IS-1248,2024-06-14T00:00:00Z,ACCIDENTE,ALTA,16853
IS-1249,2021-08-22T00:00:00Z,ROBO,ALTA,18221
IS-125,2021-07-20T00:00:00Z,CAIDA,MEDIA,17144
IS-1250,2022-12-07T00:00:00Z,ROBO,ALTA,18554
IS-1251,2023-06-08T00:00:00Z,VANDALISMO,CRITICA,16922
IS-1252,2022-06-07T00:00:00Z,CAIDA,ALTA,18371
IS-1253,2021-10-29T00:00:00Z,VANDALISMO,BAJA,3962084
IS-1254,2023-04-14T00:00:00Z,ROBO,CRITICA,8909085
IS-1255,2023-01-24T00:00:00Z,DANO ESTRUCTURAL,CRITICA,16983
IS-1256,2020-01-30T00:00:00Z,DANO ESTRUCTURAL,ALTA,4985928
IS-1257,2020-10-09T00:00:00Z,DANO ESTRUCTURAL,ALTA,18598
IS-1258,2024-05-20T00:00:00Z,CAIDA,ALTA,17140
IS-1259,2022-06-19T00:00:00Z,DANO ESTRUCTURAL,ALTA,17377
IS-126,2020-01-01T00:00:00Z,CAIDA,ALTA,52192
IS-1260,2023-09-28T00:00:00Z,CAIDA,BAJA,17372
IS-1261,2022-10-06T00:00:00Z,DANO ESTRUCTURAL,MEDIA,451351
IS-1262,2020-03-23T00:00:00Z,CAIDA,CRITICA,18614
IS-1263,2020-12-18T00:00:00Z,DANO ESTRUCTURAL,CRITICA,18273
IS-1264,2021-08-19T00:00:00Z,VANDALISMO,ALTA,3960567
IS-1265,2020-12-01T00:00:00Z,ROBO,BAJA,17388
IS-1266,2021-02-24T00:00:00Z,ACCIDENTE,CRITICA,18273
IS-1267,2023-11-28T00:00:00Z,ROBO,CRITICA,18188
IS-1268,2023-01-17T00:00:00Z,VANDALISMO,MEDIA,17915
IS-1269,2020-04-20T00:00:00Z,VANDALISMO,ALTA,9187084
IS-127,2022-09-30T00:00:00Z,CAIDA,BAJA,17701
IS-1270,2020-06-21T00:00:00Z,DANO ESTRUCTURAL,CRITICA,16874
IS-1271,2022-12-13T00:00:00Z,DANO ESTRUCTURAL,BAJA,8799543
IS-1272,2022-10-02T00:00:00Z,DANO ESTRUCTURAL,MEDIA,5240297
IS-1273,2021-05-02T00:00:00Z,ACCIDENTE,BAJA,17472
IS-1274,2022-11-15T00:00:00Z,ACCIDENTE,BAJA,17330
IS-1275,2023-02-12T00:00:00Z,CAIDA,MEDIA,5174766
IS-1276,2023-01-01T00:00:00Z,VANDALISMO,CRITICA,18113
IS-1277,2022-12-30T00:00:00Z,ACCIDENTE,ALTA,16723
IS-1278,2021-02-02T00:00:00Z,CAIDA,CRITICA,18282
IS-1279,2021-11-14T00:00:00Z,ACCIDENTE,ALTA,18609
IS-128,2023-06-30T00:00:00Z,ROBO,BAJA,16967
IS-1280,2023-04-15T00:00:00Z,VANDALISMO,CRITICA,5653903
IS-1281,2020-10-06T00:00:00Z,VANDALISMO,CRITICA,17653
IS-1282,2022-01-05T00:00:00Z,DANO ESTRUCTURAL,MEDIA,16751
IS-1283,2021-02-08T00:00:00Z,CAIDA,ALTA,5237122
IS-1284,2020-09-05T00:00:00Z,ACCIDENTE,MEDIA,17379
IS-1285,2024-04-01T00:00:00Z,DANO ESTRUCTURAL,BAJA,18336
IS-1286,2022-04-21T00:00:00Z,DANO ESTRUCTURAL,MEDIA,17732
IS-1287,2022-02-12T00:00:00Z,ROBO,BAJA,18044
IS-1288,2021-01-07T00:00:00Z,ACCIDENTE,BAJA,18615
IS-1289,2019-11-28T00:00:00Z,ACCIDENTE,CRITICA,16747
IS-129,2022-02-06T00:00:00Z,ROBO,MEDIA,17847
IS-1290,2023-10-06T00:00:00Z,ACCIDENTE,BAJA,17355
IS-1291,2019-12-07T00:00:00Z,ROBO,ALTA,17438
IS-1292,2024-05-25T00:00:00Z,DANO ESTRUCTURAL,BAJA,18214
IS-1293,2022-04-05T00:00:00Z,ROBO,ALTA,17254
IS-1294,2022-10-01T00:00:00Z,DANO ESTRUCTURAL,ALTA,52231
IS-1295,2024-07-29T00:00:00Z,DANO ESTRUCTURAL,MEDIA,5653924
IS-1296,2021-03-05T00:00:00Z,VANDALISMO,MEDIA,17074
IS-1297,2020-03-03T00:00:00Z,CAIDA,MEDIA,17402
IS-1298,2020-01-24T00:00:00Z,DANO ESTRUCTURAL,BAJA,17370
IS-1299,2023-09-19T00:00:00Z,ROBO,CRITICA,18319
IS-13,2020-10-18T00:00:00Z,CAIDA,MEDIA,18411
IS-130,2019-12-03T00:00:00Z,ROBO,CRITICA,18269
IS-1300,2021-04-19T00:00:00Z,DANO ESTRUCTURAL,ALTA,8799942
IS-1301,2020-06-22T00:00:00Z,ACCIDENTE,MEDIA,16987
IS-1302,2021-07-16T00:00:00Z,DANO ESTRUCTURAL,CRITICA,3961443
IS-1303,2021-09-30T00:00:00Z,ACCIDENTE,MEDIA,9391954
IS-1304,2023-09-04T00:00:00Z,ROBO,ALTA,17275
IS-1305,2024-07-29T00:00:00Z,ACCIDENTE,CRITICA,5241178
IS-1306,2024-09-30T00:00:00Z,VANDALISMO,ALTA,52135
IS-1307,2020-08-30T00:00:00Z,VANDALISMO,MEDIA,7024214
IS-1308,2023-06-27T00:00:00Z,CAIDA,BAJA,3573208
IS-1309,2020-03-25T00:00:00Z,ROBO,CRITICA,18117
IS-131,2022-03-07T00:00:00Z,ROBO,CRITICA,5213818
IS-1310,2021-04-06T00:00:00Z,DANO ESTRUCTURAL,CRITICA,17405
IS-1311,2022-05-20T00:00:00Z,CAIDA,CRITICA,18187
IS-1312,2022-11-26T00:00:00Z,ROBO,MEDIA,17459
IS-1313,2023-05-18T00:00:00Z,ACCIDENTE,ALTA,17158
IS-1314,2020-12-06T00:00:00Z,DANO ESTRUCTURAL,MEDIA,17459
IS-1315,2020-12-21T00:00:00Z,CAIDA,BAJA,18197
IS-1316,2022-04-28T00:00:00Z,ACCIDENTE,BAJA,16677
IS-1317,2020-05-26T00:00:00Z,ACCIDENTE,MEDIA,17746
IS-1318,2023-01-31T00:00:00Z,VANDALISMO,BAJA,18398
IS-1319,2019-12-28T00:00:00Z,CAIDA,CRITICA,18629
IS-132,2022-12-23T00:00:00Z,DANO ESTRUCTURAL,MEDIA,18007
IS-1320,2022-09-07T00:00:00Z,DANO ESTRUCTURAL,CRITICA,7903107
IS-1321,2023-12-31T00:00:00Z,ACCIDENTE,BAJA,17931
IS-1322,2024-04-10T00:00:00Z,ACCIDENTE,MEDIA,18598
IS-1323,2022-07-12T00:00:00Z,ROBO,ALTA,17921
IS-1324,2020-10-27T00:00:00Z,VANDALISMO,CRITICA,17263
IS-1325,2022-05-16T00:00:00Z,ACCIDENTE,ALTA,3573058
IS-1326,2021-06-04T00:00:00Z,VANDALISMO,CRITICA,17718
IS-1327,2021-08-22T00:00:00Z,CAIDA,CRITICA,16867
