ID,FECHA_REPORTE,TIPO_INCIDENTE,GRAVEDAD,AreaRecreativaID
54,2022/11/28,Daño estructural,Baja,7126517
55,2022/09/28,Accidente,Alta,17798
56,30/09/2023,Accidente,Alta,16935
57,17-12-2022,Cáídá,Media,17997
58,2022-07-17,Daño estructural,Baja,18481
59,2023-04-13,Robo,Crítica,52046
60,2020/08/30,Daño estructural,Alta,5056315
61,2019-11-03,Robo,Baja,4986445
62,09-06-2023,Robo,Crítica,3566363
63,15-05-2022,Vandalismo,Media,18527
64,2020-09-04,Caída,Media,18548
65,2023/01/23,Robo,Crítica,16986
66,2024/01/14,Daño estructural,Baja,16914
67,12-09-2021,Daño estructural,Media,16830
68,02-28-2020,Dáñó éstrúctúrál,Media,7862164
69,04-29-2021,Dáñó éstrúctúrál,Crítica,16669
70,06/01/2020,Vandalismo,Crítica,7838817
71,03-18-2022,Daño estructural,Alta,17710
72,2024/03/18,Daño estructural,Crítica,7107695
73,01/10/2021,Daño estructural,Alta,18003
74,05-03-2024,Robo,Alta,17977
75,2024/10/01,Róbó,Crítica,18524
76,22/02/2024,Accidente,Media,18468
77,11-07-2019,Vandalismo,Media,18085
78,05/09/2024,Daño estructural,Baja,17087
79,03-05-2022,Robo,Crítica,17304
80,20/11/2022,Accidente,Media,17905
81,2022-05-05,Robo,Baja,5246196
82,29-07-2022,Caída,Crítica,4986142
83,11-06-2020,Róbó,Crítica,18220
84,11-01-2019,Robo,Baja,17739
85,22-06-2020,Robo,Alta,52116
86,08/09/2022,Daño estructural,Baja,17900
87,01-04-2021,Accidente,Alta,8909095
88,17-06-2024,Cáídá,Alta,16780
89,09-14-2020,Robo,Baja,18363
90,29-01-2020,Accídénté,Crítica,18292
91,2021-02-10,Caída,Crítica,7802438
92,2022/12/21,Daño estructural,Alta,18370
93,12-10-2022,Vandalismo,Crítica,7247843
94,15-10-2021,Accidente,Crítica,17872
95,10-13-2023,Daño estructural,Media,17927
96,2022-09-19,Accidente,Crítica,17854
97,17/12/2020,Robo,Crítica,5237131
98,2022-05-28,Caída,Alta,52073
99,2022-10-05,Accidente,Crítica,7125612
100,30/06/2021,Róbó,Media,17909
101,2020/07/27,Robo,Media,16831
102,19-07-2020,Caída,Baja,18234
103,08-23-2024,Caída,Crítica,4988273
104,01-01-2023,Caída,Alta,9187536
105,23/08/2024,Robo,Media,17911
106,2020/03/12,Caída,Media,17686
107,03-07-2021,Accidente,Baja,52217
108,2020/03/20,Caída,Alta,5175231
109,2021/10/24,Accídénté,Baja,17597
110,2024/09/18,Robo,Baja,18470
111,16-03-2021,Vandalismo,Baja,52111
112,04-29-2023,Caída,Crítica,17954
113,09-14-2021,Vandalismo,Media,18295
114,2022/07/30,Caída,Crítica,16825
115,2021-12-23,Caída,Alta,17477
116,2021-10-21,Robo,Baja,7126577
117,24/04/2022,Caída,Media,17109
118,2020/01/18,Vandalismo,Media,17915
119,01-01-2023,Daño estructural,Crítica,16911
120,2021-08-19,Caída,Alta,16811
121,16-09-2021,Accidente,Baja,17413
122,12-19-2019,Dáñó éstrúctúrál,Media,16853
123,30-01-2020,Accidente,Media,16718
124,2024/07/09,Vándálísmó,Media,16822
125,20-07-2021,Caída,Media,17144
126,2020-01-01,Cáídá,Alta,52192
127,2022-09-30,Caída,Baja,17701
128,2023/06/30,Robo,Baja,16967
129,06-02-2022,Robo,Media,17847
130,2019-12-03,Róbó,Crítica,18269
131,03/07/2022,Robo,Crítica,5213818
132,2022/12/23,Daño estructural,Media,18007
133,2022-03-13,Caída,Alta,18036
134,2022-04-11,Vandalismo,Media,52147
135,2022-04-06,Cáídá,Media,17919
136,2022-03-20,Accidente,Alta,17352
137,2020/09/29,Cáídá,Alta,17937
138,04-10-2021,Daño estructural,Alta,8799550
139,08-25-2023,Accídénté,Alta,18566
140,06-09-2021,Daño estructural,Baja,18267
141,2022/12/02,Vandalismo,Baja,18096
142,25-07-2024,Dáñó éstrúctúrál,Alta,17816
143,2022-08-06,Accidente,Media,17969
144,2021/04/30,Accidente,Alta,17424
145,05-11-2021,Cáídá,Baja,18571
146,26/05/2022,Caída,Media,18222
147,29/12/2022,Vandalismo,Alta,5246180
148,28/06/2020,Robo,Baja,17824
149,01-08-2021,Caída,Baja,16896
150,2024-01-10,Accidente,Alta,17087
151,09-12-2021,Vandalismo,Baja,18204
152,2022/09/13,Daño estructural,Baja,17339
153,23-06-2023,Vándálísmó,Baja,17029
154,2024/02/26,Daño estructural,Alta,16672
155,16/08/2023,Accidente,Crítica,17826
156,20/06/2021,Caída,Alta,17012
157,11/11/2022,Vándálísmó,Baja,18630
158,2020/11/13,Vándálísmó,Media,3573057
159,2021/01/02,Caída,Alta,5231441
160,2019-10-29,Robo,Alta,16771
161,2023/04/24,Daño estructural,Media,18437
162,2023/01/11,Caída,Crítica,5211393
163,2024-06-24,Vandalismo,Baja,17112
164,06-14-2024,Accidente,Media,17583
165,24/08/2022,Robo,Baja,18315
166,07-13-2020,Accidente,Media,17344
167,2020-05-15,Vándálísmó,Crítica,17000
168,01/07/2022,Dáñó éstrúctúrál,Baja,18433
169,24-11-2021,Caída,Crítica,18344
170,15-09-2024,Accidente,Baja,18282
171,07-01-2023,Robo,Alta,52209
172,09-13-2021,Vandalismo,Crítica,52177
173,2024-06-25,Accidente,Alta,5237137
174,2022-10-26,Robo,Baja,5219919
175,17-02-2024,Daño estructural,Alta,5010682
176,10-16-2021,Daño estructural,Alta,18176
177,2024/09/13,Caída,Alta,17652
178,2024-06-06,Daño estructural,Alta,451542
179,10-18-2023,Vandalismo,Baja,451569
180,26/09/2024,Vandalismo,Crítica,18263
181,23-02-2023,Robo,Media,18506
182,2022-08-14,Accídénté,Baja,17159
183,17-11-2023,Caída,Media,18468
184,2021-12-25,Robo,Baja,451569
185,2021/09/28,Caída,Baja,18247
186,27-08-2024,Accidente,Alta,17265
187,2024/05/28,Vándálísmó,Crítica,5220259
188,04-11-2021,Vandalismo,Media,17557
189,2024/09/23,Caída,Baja,18595
190,29/10/2022,Caída,Alta,17211
191,24/08/2020,Daño estructural,Alta,17016
192,28/12/2020,Dáñó éstrúctúrál,Media,18634
193,2024/08/12,Accidente,Crítica,16842
194,28-11-2022,Vándálísmó,Baja,3568300
195,03/02/2024,Vándálísmó,Crítica,5237118
196,2021/08/06,Robo,Crítica,17420
197,03-12-2023,Robo,Baja,17900
198,2023/05/10,Robo,Baja,16943
199,30-07-2024,Caída,Alta,16821
200,29/01/2023,Cáídá,Baja,3573048
201,05-06-2020,Dáñó éstrúctúrál,Crítica,18351
202,2021-12-06,Robo,Baja,4984713
203,2022-02-15,Vandalismo,Crítica,17779
204,2020/12/16,Robo,Alta,16687
205,25-07-2022,Caída,Alta,17939
206,30-12-2021,Robo,Baja,52176
207,07-27-2023,Robo,Crítica,17036
208,2022-08-20,Daño estructural,Baja,17844
209,2024/09/10,Cáídá,Alta,17564
210,2021-03-22,Vandalismo,Media,17547
211,19/12/2022,Daño estructural,Media,17286
212,02-11-2020,Accidente,Media,18073
213,08-15-2024,Daño estructural,Baja,18378
214,2024/06/13,Robo,Alta,18307
215,30/05/2021,Vandalismo,Crítica,18420
216,04-08-2021,Accidente,Alta,461342
217,2022/11/01,Daño estructural,Baja,18379
218,19-10-2020,Daño estructural,Crítica,8785368
219,17/05/2023,Vándálísmó,Alta,5240288
220,13/03/2024,Caída,Baja,5175231
221,04-03-2024,Accídénté,Media,17924
222,05/01/2021,Vandalismo,Baja,16854
223,2021/03/06,Accidente,Crítica,18102
224,12-02-2020,Vandalismo,Media,18339
225,20-08-2024,Vandalismo,Media,18484
226,2022-09-15,Robo,Alta,7107699
227,09/08/2022,Daño estructural,Alta,17219
228,03-15-2024,Robo,Alta,17722
229,22/03/2024,Robo,Media,16774
230,2024/07/20,Dáñó éstrúctúrál,Media,17201
231,04-09-2022,Caída,Media,18614
232,09/06/2024,Cáídá,Baja,5653914
233,11/02/2021,Robo,Baja,3568959
234,28/04/2024,Daño estructural,Media,8799552
235,20/11/2020,Daño estructural,Baja,17283
236,2022/09/09,Accidente,Baja,16896
237,06-04-2020,Vandalismo,Alta,17599
238,03/03/2024,Vandalismo,Alta,17409
239,16-05-2020,Caída,Crítica,17822
240,07-06-2020,Accídénté,Crítica,17362
241,21/09/2021,Róbó,Baja,18173
242,05-08-2024,Vandalismo,Media,9046339
243,27-07-2024,Vandalismo,Media,16761
244,05-06-2020,Accidente,Baja,3568711
245,2023-09-17,Robo,Media,17721
246,06/04/2024,Róbó,Baja,18618
247,2022/06/19,Róbó,Crítica,18616
248,04-17-2024,Accidente,Baja,16820
249,07-16-2021,Accidente,Crítica,17514
250,02/03/2021,Vandalismo,Crítica,17093
251,2020-01-20,Accídénté,Crítica,3531279
252,28-07-2022,Accidente,Alta,8909088
253,25/02/2023,Robo,Alta,17947
254,03-04-2021,Accidente,Alta,18544
255,25-05-2023,Robo,Alta,16964
256,01-10-2024,Accídénté,Media,17451
257,2022-04-19,Daño estructural,Baja,3568168
258,30-01-2023,Daño estructural,Media,17503
259,13/08/2020,Accidente,Crítica,17284
260,12/12/2022,Daño estructural,Crítica,7126585
261,28-09-2024,Accidente,Crítica,18457
262,2020-04-28,Vandalismo,Crítica,17386
263,2023/01/11,Robo,Media,17987
264,21/01/2024,Accidente,Crítica,18129
265,2019/11/17,Daño estructural,Baja,17625
266,13-03-2021,Vandalismo,Baja,16863
267,02/07/2022,Vandalismo,Alta,17593
268,04-09-2022,Vandalismo,Alta,3568169
269,05-11-2023,Caída,Baja,52211
270,2023-10-25,Accidente,Baja,16872
271,09-04-2020,Róbó,Crítica,5219934
272,20-03-2023,Caída,Baja,17576
273,06-02-2022,Caída,Baja,16762
274,11-12-2021,Vándálísmó,Baja,17091
275,2020-02-09,Vandalismo,Alta,18588
276,2024-09-23,Vandalismo,Alta,16834
277,30/10/2022,Daño estructural,Media,17997
278,16/12/2020,Cáídá,Alta,17342
279,2024-02-13,Robo,Baja,5237112
280,06-06-2020,Accidente,Alta,5133174
281,2022-10-09,Robo,Baja,18190
282,09-27-2022,Accidente,Media,17551
283,2022/07/14,Caída,Media,18560
284,05/12/2023,Accidente,Crítica,18159
285,17-06-2022,Róbó,Baja,8799632
286,20-02-2021,Caída,Media,5071674
287,2020-06-28,Dáñó éstrúctúrál,Media,17985
288,12-03-2022,Robo,Media,18091
289,09-10-2024,Daño estructural,Crítica,52209
290,2020-11-18,Cáídá,Baja,52225
291,2022-11-15,Vandalismo,Baja,17065
292,05-15-2020,Dáñó éstrúctúrál,Media,17412
293,2023-11-04,Vandalismo,Media,17022
294,2024/03/18,Caída,Crítica,17464
295,05-05-2023,Daño estructural,Alta,17092
296,2020-04-05,Vandalismo,Alta,52214
297,2023/04/06,Daño estructural,Crítica,17668
298,2019/12/30,Robo,Media,18175
299,07-09-2021,Daño estructural,Crítica,16696
300,2020-08-04,Daño estructural,Media,17801
301,2023-08-05,Daño estructural,Crítica,17542
302,2022/05/03,Vándálísmó,Media,9049653
303,21-09-2020,Vandalismo,Media,17894
304,08-09-2024,Daño estructural,Media,3568279
305,2020/05/20,Vándálísmó,Crítica,18438
306,07-29-2020,Caída,Media,18057
307,2023-11-30,Daño estructural,Alta,52116
308,2022-08-07,Dáñó éstrúctúrál,Baja,9438309
309,04/05/2020,Robo,Baja,3531279
310,12/05/2023,Daño estructural,Baja,16907
311,2020/02/25,Daño estructural,Baja,18323
312,2020-11-29,Vandalismo,Media,18489
313,10/02/2020,Accidente,Baja,16855
314,09-05-2020,Daño estructural,Alta,7835585
315,2020-05-14,Vandalismo,Baja,3573466
316,12-11-2019,Accidente,Media,17009
317,2023/01/03,Róbó,Alta,3990963
318,03-12-2020,Vandalismo,Baja,52193
319,08-03-2021,Daño estructural,Crítica,17396
320,2020/03/19,Robo,Crítica,17699
321,2021/02/10,Vandalismo,Media,17857
322,2023/07/29,Daño estructural,Alta,7872643
323,07-20-2023,Vandalismo,Crítica,7165942
324,2020/10/05,Daño estructural,Alta,4794560
325,2023/12/22,Robo,Media,17920
326,2020-05-18,Daño estructural,Baja,3569191
327,2020/09/14,Robo,Media,17165
328,09-11-2024,Vandalismo,Crítica,18156
329,29/12/2022,Dáñó éstrúctúrál,Baja,17137
330,2020/12/10,Accidente,Media,3990960
331,17-10-2019,Caída,Crítica,9049643
332,20/12/2020,Accidente,Media,17221
333,02-07-2024,Caída,Media,17759
334,26/03/2023,Accidente,Media,16920
335,2024-04-22,Daño estructural,Media,52090
336,13-02-2022,Caída,Media,18231
337,23-01-2024,Accídénté,Baja,3531283
338,05-12-2020,Vandalismo,Crítica,17123
339,2023/09/27,Caída,Media,52107
340,17-02-2023,Daño estructural,Media,52144
341,23-12-2021,Daño estructural,Crítica,16916
342,2023/08/19,Vandalismo,Crítica,17400
343,2023/08/18,Caída,Alta,17741
344,02-22-2020,Vándálísmó,Baja,17723
345,10-03-2022,Cáídá,Alta,17483
346,14-12-2023,Vandalismo,Media,17215
347,08-01-2022,Caída,Crítica,17794
348,12-06-2020,Robo,Alta,17811
349,29/05/2021,Cáídá,Crítica,5654051
350,26/11/2020,Vandalismo,Crítica,18536
351,2023-07-12,Vandalismo,Crítica,4749897
352,17/06/2021,Caída,Media,5211393
353,10-02-2022,Vandalismo,Crítica,4730800
354,03-11-2023,Accidente,Media,8907324
355,12-12-2021,Dáñó éstrúctúrál,Media,18418
356,02-27-2021,Accidente,Alta,16678
357,2021/08/25,Dáñó éstrúctúrál,Media,18554
358,2023-11-05,Caída,Media,17383
359,03-11-2021,Róbó,Media,18323
360,04/12/2022,Daño estructural,Media,18239
361,2020-02-20,Robo,Alta,4792795
362,2023/11/30,Caída,Crítica,8799941
363,03/07/2021,Dáñó éstrúctúrál,Crítica,16812
364,17/07/2022,Accidente,Baja,16730
365,06-10-2021,Accidente,Alta,17051
366,04-25-2024,Robo,Alta,17134
367,2020/02/23,Vandalismo,Baja,17208
368,2022/07/15,Accidente,Alta,18198
369,2020-11-29,Accidente,Media,18152
370,06-29-2024,Caída,Baja,18135
371,22-03-2021,Accidente,Crítica,17292
372,19/08/2020,Daño estructural,Alta,17859
373,2023/12/25,Robo,Crítica,18176
374,2021/05/05,Robo,Crítica,18098
375,25/02/2024,Robo,Media,7247916
376,07-05-2023,Vandalismo,Media,17004
377,31-01-2023,Accidente,Alta,18205
378,2022/04/02,Vandalismo,Crítica,17416
379,08-30-2022,Daño estructural,Crítica,5653914
380,2023-02-06,Vandalismo,Baja,18268
381,2022-09-01,Accidente,Baja,17644
382,01/06/2020,Accidente,Baja,4745667
383,2023-10-01,Robo,Media,16898
384,25-06-2020,Robo,Crítica,18099
385,2021/07/15,Caída,Alta,17570
386,2024-03-06,Caída,Media,52091
387,2024-01-06,Daño estructural,Media,18598
388,2024-06-16,Caída,Alta,17091
389,2020-04-08,Cáídá,Crítica,8785368
390,2020-08-22,Vandalismo,Crítica,17073
391,2022-08-18,Caída,Baja,16975
392,07-19-2020,Robo,Crítica,5071591
393,08-29-2020,Róbó,Baja,16832
394,2022/08/22,Daño estructural,Alta,5653899
395,2024-10-01,Daño estructural,Alta,52156
396,2024/02/24,Caída,Media,18243
397,10/07/2021,Daño estructural,Baja,5237139
398,20/11/2019,Daño estructural,Baja,7144128
399,07-06-2020,Accídénté,Crítica,17724
400,2023-08-06,Vándálísmó,Media,5653877
401,06-03-2024,Robo,Crítica,17500
402,2020-01-02,Accidente,Baja,17848
403,25-03-2024,Accidente,Alta,17000
404,24-02-2022,Vandalismo,Alta,17051
405,07-10-2021,Cáídá,Crítica,52183
406,2019/11/02,Róbó,Media,9424150
407,05/08/2024,Dáñó éstrúctúrál,Alta,17013
408,2020-04-06,Robo,Alta,17614
409,19/02/2022,Vandalismo,Alta,17922
410,2022/09/18,Cáídá,Alta,18282
411,02-21-2021,Vándálísmó,Baja,17925
412,07-15-2021,Accidente,Media,5237133
413,10-11-2021,Dáñó éstrúctúrál,Crítica,7802438
414,2020-06-23,Accídénté,Crítica,16813
415,2022/03/27,Accidente,Media,17952
416,26/05/2023,Daño estructural,Baja,17974
417,2024-03-29,Vándálísmó,Crítica,17856
418,2021-06-11,Daño estructural,Baja,17037
419,07-19-2024,Dáñó éstrúctúrál,Crítica,17948
420,09/11/2019,Róbó,Crítica,18443
421,2021/09/22,Daño estructural,Baja,18599
422,05-08-2023,Caída,Crítica,17650
423,04/04/2021,Daño estructural,Alta,17414
424,2023/07/07,Caída,Crítica,18462
425,04-02-2024,Robo,Crítica,16730
426,2020/08/13,Caída,Media,18232
427,2024/09/01,Robo,Alta,18218
428,26/02/2022,Robo,Baja,17209
429,2021/03/14,Vandalismo,Crítica,17468
430,2019/10/21,Caída,Crítica,17111
431,09-12-2023,Robo,Crítica,18564
432,2022-09-08,Vándálísmó,Baja,17050
433,2021-06-10,Daño estructural,Media,17564
434,02/03/2024,Cáídá,Alta,17690
435,04-19-2024,Caída,Alta,17470
436,2020-06-09,Accídénté,Crítica,17340
437,15-06-2021,Accidente,Media,17272
438,02-03-2024,Caída,Crítica,18417
439,11-05-2024,Accidente,Alta,16711
440,2020/11/19,Caída,Crítica,16832
441,09-02-2021,Daño estructural,Baja,17933
442,09-13-2020,Vandalismo,Alta,17014
443,12-05-2022,Robo,Baja,18043
444,2020-11-16,Accidente,Alta,52197
445,2022/05/27,Robo,Baja,17678
446,22/06/2024,Vandalismo,Baja,6819621
447,2020-10-15,Accidente,Media,5237123
448,2021/01/12,Robo,Alta,16677
449,15-08-2024,Daño estructural,Media,3960567
450,22-09-2022,Daño estructural,Media,17946
451,01-22-2022,Accidente,Baja,17100
452,25/08/2022,Accidente,Baja,3991194
453,03/07/2024,Daño estructural,Crítica,17113
454,08-12-2022,Vandalismo,Crítica,16870
455,01-05-2024,Caída,Alta,18062
456,2024/03/13,Daño estructural,Media,451321
457,12-26-2020,Caída,Media,4737941
458,10-05-2022,Caída,Baja,18291
459,16/02/2022,Caída,Baja,18009
460,24/01/2021,Cáídá,Crítica,17421
461,2023/09/01,Vandalismo,Crítica,17258
462,01-08-2021,Vandalismo,Alta,17674
463,10-15-2022,Daño estructural,Media,5240286
464,08-21-2021,Cáídá,Alta,18325
465,2022-07-12,Daño estructural,Alta,17193
466,01-02-2024,Robo,Baja,4987160
467,13-05-2023,Vandalismo,Baja,17589
468,2022/11/09,Caída,Baja,17997
469,2021-02-27,Cáídá,Media,18203
470,31/05/2023,Daño estructural,Crítica,17561
471,12-25-2020,Caída,Baja,17949
472,31-08-2020,Daño estructural,Alta,8799553
473,2022/03/07,Caída,Baja,16998
474,2023/09/10,Robo,Alta,18598
475,07-29-2020,Daño estructural,Crítica,17977
476,2022/03/30,Caída,Baja,5166868
477,25-02-2020,Caída,Baja,17141
478,2021/09/27,Robo,Alta,17688
479,10-28-2023,Vandalismo,Crítica,17491
480,2024/02/08,Caída,Media,17007
481,2021-02-02,Vandalismo,Crítica,18557
482,2022/01/31,Cáídá,Media,52123
483,2022-12-14,Caída,Baja,8941726
484,20/07/2022,Caída,Media,18527
485,2020-07-27,Robo,Media,17037
486,2020/07/04,Accidente,Alta,18168
487,2020/06/30,Robo,Baja,4737820
488,08-29-2021,Caída,Alta,5241176
489,2020/04/14,Caída,Crítica,5653960
490,2022/09/16,Daño estructural,Crítica,16998
491,21-09-2024,Accidente,Alta,18056
492,28-04-2024,Daño estructural,Baja,461343
493,16/08/2021,Caída,Media,17444
494,2022/03/13,Caída,Media,17218
495,30/09/2023,Robo,Crítica,7177654
496,08-07-2023,Accidente,Alta,18631
497,2022-11-13,Accidente,Crítica,17667
498,18-02-2021,Caída,Media,16859
499,10/04/2020,Dáñó éstrúctúrál,Baja,17257
500,05-05-2022,Vandalismo,Baja,18184
501,09-04-2020,Daño estructural,Media,5219935
502,2020-07-21,Vandalismo,Baja,5220259
503,12-09-2023,Accidente,Crítica,5240310
504,2022-11-13,Cáídá,Media,18305
505,2024/05/14,Cáídá,Media,17099
506,2021-08-17,Robo,Crítica,16747
507,04-06-2020,Daño estructural,Baja,16731
508,2020-09-26,Daño estructural,Media,17916
509,14/04/2022,Robo,Media,3573055
510,27-10-2021,Vándálísmó,Alta,17916
511,10-10-2020,Accidente,Crítica,18051
512,2021/08/22,Vandalismo,Media,17991
513,2021-01-26,Vandalismo,Media,17501
514,12/03/2024,Daño estructural,Crítica,18133
515,12-01-2020,Robo,Media,17421
516,10-02-2021,Róbó,Media,52048
517,2020/07/13,Robo,Baja,5218564
518,02-26-2024,Caída,Media,17849
519,22/09/2023,Róbó,Baja,18376
520,07/04/2023,Daño estructural,Alta,18141
521,29-03-2024,Daño estructural,Crítica,16727
522,05-17-2021,Caída,Baja,17768
523,2019/11/11,Accídénté,Media,5653890
524,14/06/2024,Accidente,Media,18217
525,10/08/2020,Róbó,Media,5211393
526,2023/09/08,Robo,Media,52093
527,06-08-2022,Daño estructural,Baja,17361
528,11/05/2023,Accidente,Crítica,16695
529,15/12/2021,Vandalismo,Alta,18451
530,11-10-2022,Vandalismo,Alta,3573058
531,16/01/2023,Robo,Media,5892353
532,2021/03/07,Robo,Media,5211511
533,03-20-2020,Caída,Baja,18391
534,2020-02-25,Vandalismo,Media,3573330
535,02-13-2021,Dáñó éstrúctúrál,Alta,17412
536,03-11-2024,Daño estructural,Baja,16741
537,30-07-2021,Daño estructural,Media,16723
538,01-02-2020,Vandalismo,Alta,17075
539,04/11/2022,Daño estructural,Media,17299
540,07-17-2024,Caída,Baja,17993
541,29/02/2020,Robo,Baja,17044
542,2021-07-18,Robo,Media,18138
543,2020/02/13,Daño estructural,Crítica,18207
544,2023/05/25,Robo,Crítica,52179
545,2024/10/06,Vandalismo,Crítica,17334
546,01-24-2022,Daño estructural,Media,18294
547,20-04-2024,Vandalismo,Crítica,9397076
548,2021/08/12,Accídénté,Media,17607
549,01-09-2021,Accidente,Crítica,18316
550,27/03/2021,Caída,Media,17990
551,09-08-2020,Robo,Baja,17310
552,2020/02/04,Accidente,Crítica,5219922
553,2023/11/17,Vandalismo,Alta,18582
554,2024-07-15,Caída,Baja,18438
555,08-09-2020,Caída,Media,5237125
556,2021/08/20,Caída,Baja,16679
557,2022/01/29,Robo,Media,18133
558,2021-06-02,Accidente,Alta,18072
559,06-02-2024,Vandalismo,Media,17075
560,11-08-2022,Caída,Crítica,17057
561,03/10/2020,Vándálísmó,Media,17548
562,2023-01-30,Caída,Media,17254
563,07-08-2023,Cáídá,Baja,18456
564,08-16-2020,Daño estructural,Alta,5241168
565,10-10-2022,Accidente,Media,8914015
566,13/09/2023,Vandalismo,Baja,5213822
567,2023-02-15,Accidente,Alta,17660
568,12-02-2022,Vandalismo,Crítica,16851
569,2023/10/01,Robo,Media,18411
570,2024-03-30,Robo,Crítica,18107
571,29-12-2021,Daño estructural,Crítica,52186
572,14-04-2021,Dáñó éstrúctúrál,Media,6819625
573,2023/08/19,Robo,Crítica,17999
574,2023-08-14,Róbó,Baja,16997
575,03/01/2022,Accidente,Baja,5109124
576,2020-02-06,Robo,Baja,17611
577,15-07-2023,Accidente,Media,17487
578,15-06-2024,Vándálísmó,Media,17923
579,2022-08-24,Vandalismo,Media,18526
580,2020-01-14,Caída,Media,17842
581,12-07-2021,Cáídá,Media,3991213
582,2020/12/24,Dáñó éstrúctúrál,Alta,18056
583,20/07/2022,Daño estructural,Baja,18209
584,2022/05/17,Caída,Media,52044
585,21/11/2023,Accídénté,Media,52102
586,14-05-2024,Daño estructural,Crítica,17723
587,2024/10/13,Vandalismo,Crítica,18004
588,08/12/2020,Caída,Baja,17348
589,24-11-2020,Robo,Baja,8799550
590,2020/03/03,Accidente,Media,16674
591,20-08-2022,Caída,Baja,3568300
592,10/12/2022,Dáñó éstrúctúrál,Media,5213822
593,13/10/2022,Vandalismo,Baja,17800
594,2023-09-21,Robo,Alta,17272
595,26/07/2022,Daño estructural,Alta,52070
596,02-09-2022,Caída,Alta,17805
597,2023/10/31,Caída,Media,17354
598,05-17-2024,Accidente,Baja,17965
599,2020-03-10,Vandalismo,Alta,7861611
600,05-05-2023,Daño estructural,Crítica,17376
601,2023-03-06,Róbó,Baja,18424
602,09-03-2020,Daño estructural,Media,16945
603,17-01-2020,Vandalismo,Alta,52216
604,07-06-2023,Robo,Crítica,7902152
605,13-11-2020,Robo,Alta,4983958
606,2022-01-13,Accidente,Alta,18386
607,01-09-2020,Daño estructural,Media,5654018
608,2024/01/25,Caída,Media,18609
609,2020-12-29,Vandalismo,Baja,5240110
610,2023/04/09,Vándálísmó,Baja,18091
611,01-07-2024,Accídénté,Alta,5237111
612,2020/03/21,Accidente,Alta,5174681
613,28/06/2021,Vándálísmó,Media,17400
614,26/09/2022,Accidente,Alta,17016
615,2022-10-05,Daño estructural,Baja,18414
616,2024/08/10,Robo,Baja,17676
617,13/11/2023,Robo,Alta,16848
618,09-13-2020,Robo,Alta,16923
619,30-04-2021,Accidente,Media,18332
620,01-06-2024,Accidente,Alta,18057
621,11-18-2020,Accidente,Crítica,5240282
622,07-22-2024,Caída,Baja,17077
623,2020/06/10,Caída,Crítica,18496
624,2022-09-06,Robo,Media,18597
625,22/11/2021,Robo,Crítica,6819613
626,2024/09/12,Daño estructural,Crítica,17339
627,10-02-2022,Vandalismo,Media,17767
628,06-10-2023,Vandalismo,Crítica,17461
629,2021/07/21,Daño estructural,Baja,17499
630,07/07/2023,Accidente,Alta,18430
631,16/01/2021,Robo,Crítica,18026
