ID,PUNTUACION_ACCESIBILIDAD,PUNTUACION_CALIDAD,COMENTARIOS,AreaRecreativaID,FECHA
90,4,3,Muy bueno,18021,04-27-2022
91,1,2,Regular,18534,05/08/2021
92,1,1,Deficiente,5237132,25/03/2023
93,1,2,Regular,17977,18/04/2023
94,2,2,Aceptable,18615,16-03-2022
95,1,2,Regular,17030,2023/10/27
96,2,3,Aceptable,16840,11-09-2023
97,3,4,Muy bueno,16855,01/11/2023
98,3,4,Muy bueno,17996,01/07/2022
99,4,4,Excelente,17418,12-09-2022
100,3,4,Muy bueno,17447,01-14-2021
101,3,2,Aceptable,5653899,10/05/2022
102,3,3,Muy bueno,4749894,2021/06/08
103,2,3,Aceptable,17848,11-18-2023
104,1,1,Deficiente,52192,29/09/2022
105,4,3,Muy bueno,17378,2023/05/24
106,5,4,Excelente,7180264,12-12-2023
107,1,1,Deficiente,18232,27/07/2022
108,2,3,Aceptable,16741,2021-08-04
109,2,3,Aceptable,18569,2023-11-24
110,2,3,Aceptable,17851,25/05/2021
111,3,3,Muy bueno,52095,17-04-2021
112,1,1,Deficiente,16696,17-05-2022
113,1,2,Regular,17813,16-08-2021
114,5,5,Excelente,17933,2022/07/13
115,4,3,Muy bueno,17375,06-04-2023
116,4,5,Excelente,52214,27-05-2022
117,5,5,Excelente,17755,25/12/2021
118,5,5,Excelente,18331,2022-01-08
119,2,3,Aceptable,17560,2022-05-22
120,2,2,Aceptable,16966,10/08/2021
121,4,3,Muy bueno,17007,2023-03-30
122,2,1,Regular,3569210,2023/11/16
123,4,5,Excelente,7021749,2023/09/04
124,4,3,Muy bueno,3568708,13/04/2021
125,4,5,Excelente,4988273,05/05/2021
126,3,2,Aceptable,7886327,21/11/2022
127,1,2,Regular,18497,2022-02-02
128,4,5,Excelente,17760,08-21-2022
129,1,1,Deficiente,17613,2022-03-10
130,5,4,Excelente,18212,2023/12/31
131,4,4,Excelente,17983,23/01/2023
132,1,1,Deficiente,7165658,24-09-2021
133,1,1,Deficiente,5219935,03-11-2022
134,2,1,Regular,52078,2023/10/27
135,4,3,Muy bueno,17390,04-16-2021
136,3,2,Aceptable,17476,2021-12-31
137,2,3,Aceptable,5237130,25-03-2022
138,3,4,Muy bueno,5071591,2021/11/28
139,4,5,Excelente,17290,2022-08-16
140,4,3,Muy bueno,52229,2023/03/11
141,2,3,Aceptable,5653899,24/05/2022
142,3,4,Muy bueno,9049652,13-02-2023
143,4,3,Muy bueno,18391,2023/12/05
144,5,5,Excelente,16967,2022/12/20
145,5,4,Excelente,18479,2021-09-28
146,1,2,Regular,16915,04-12-2022
147,2,1,Regular,17830,01-10-2021
148,5,5,Excelente,17961,01/02/2023
149,1,1,Deficiente,16897,2022-09-18
150,4,3,Muy bueno,7129053,2022-08-01
151,3,3,Muy bueno,18268,2023/04/29
152,5,5,Excelente,52223,04-29-2023
153,5,5,Excelente,17735,06/11/2023
154,1,1,Deficiente,18466,2022/08/26
155,1,1,Deficiente,7928004,2022/05/16
156,2,3,Aceptable,17465,2021-01-06
157,3,2,Aceptable,7356654,2021-06-29
158,2,1,Regular,5158861,10-01-2021
159,1,2,Regular,7182466,2021-10-12
160,4,4,Excelente,17060,25-05-2021
161,5,5,Excelente,17009,19/11/2022
162,1,2,Regular,16671,2022/08/20
163,2,1,Regular,17016,2023/06/03
164,1,1,Deficiente,17278,05/04/2023
165,1,1,Deficiente,3531279,16/10/2021
166,4,4,Excelente,7356654,11-05-2022
167,2,1,Regular,461342,01-07-2021
168,2,1,Regular,18545,07-30-2021
169,5,4,Excelente,7356671,16-01-2023
170,3,2,Aceptable,5240107,22-10-2021
171,1,2,Regular,16743,2023-06-22
172,2,2,Aceptable,16892,06-02-2022
173,3,4,Muy bueno,18416,2022/06/21
174,5,5,Excelente,17530,2023/08/08
175,3,3,Muy bueno,4986142,2022-02-04
176,4,3,Muy bueno,8799540,08-09-2022
177,4,5,Excelente,52219,09/08/2022
178,5,4,Excelente,7126585,21-12-2022
179,2,1,Regular,17039,06/03/2021
180,5,5,Excelente,17847,18-12-2022
181,5,5,Excelente,5219920,2021/05/13
182,2,2,Aceptable,18325,12-07-2021
183,4,4,Excelente,17432,2023/11/20
184,2,2,Aceptable,18520,2022-11-22
185,1,1,Deficiente,5240286,15/06/2023
186,1,1,Deficiente,17199,2021-05-23
187,3,3,Muy bueno,18060,2023-04-13
188,4,3,Muy bueno,18055,2023/10/28
189,4,4,Excelente,17225,2021-09-30
190,1,1,Deficiente,17037,2021/01/03
191,3,2,Aceptable,5237123,21/01/2022
192,4,4,Excelente,17855,12-21-2023
193,3,4,Muy bueno,7247843,15-02-2021
194,4,5,Excelente,16700,05-21-2022
195,1,2,Regular,52223,15/02/2021
196,3,2,Aceptable,17511,12-19-2022
197,2,3,Aceptable,18004,02-01-2022
198,3,2,Aceptable,5056315,07-05-2023
199,2,3,Aceptable,17694,04-07-2021
200,5,5,Excelente,17150,21-08-2022
201,3,3,Muy bueno,52135,2021/12/27
202,2,2,Aceptable,52045,19/07/2021
203,1,1,Deficiente,18164,2021-02-09
204,1,1,Deficiente,18165,07-28-2023
205,2,1,Regular,18152,10-02-2021
206,1,2,Regular,17145,01-02-2021
207,3,3,Muy bueno,8914013,29/01/2022
208,1,1,Deficiente,17482,14/05/2023
209,3,3,Muy bueno,52175,10/05/2022
210,2,2,Aceptable,17052,07/07/2022
211,5,5,Excelente,18377,28/05/2023
212,3,3,Muy bueno,52224,31/10/2022
213,2,2,Aceptable,18069,2023/02/06
214,3,2,Aceptable,17992,08/02/2022
215,1,1,Deficiente,18347,2021-07-17
216,1,1,Deficiente,18068,30-12-2021
217,1,1,Deficiente,17537,2023-12-01
218,2,1,Regular,18110,08-27-2023
219,1,2,Regular,18372,28-11-2023
220,2,2,Aceptable,17208,2022/09/03
221,3,4,Muy bueno,461342,11-04-2023
222,3,4,Muy bueno,17515,2021-01-17
223,5,5,Excelente,17685,11-08-2022
224,1,1,Deficiente,17942,2023-05-29
225,3,2,Aceptable,17563,01-04-2021
226,4,5,Excelente,7840483,2022-10-05
227,1,1,Deficiente,18287,2022/05/02
228,1,1,Deficiente,18393,2023-03-25
229,3,2,Aceptable,16872,2021/08/03
230,3,4,Muy bueno,451348,27-01-2022
231,3,4,Muy bueno,18494,2022-09-19
232,3,4,Muy bueno,7591554,2023/10/18
233,5,5,Excelente,3573055,04-02-2021
234,5,5,Excelente,18434,11-02-2022
235,5,4,Excelente,18067,30/04/2022
236,4,4,Excelente,18317,10/11/2023
237,4,4,Excelente,5246186,07-29-2022
238,1,2,Regular,7125671,2023-01-28
239,1,1,Deficiente,17433,2022-09-01
240,5,4,Excelente,5653967,2023-12-05
241,5,4,Excelente,3573055,05/09/2022
242,3,2,Aceptable,17319,11/10/2023
243,2,3,Aceptable,5195568,26-09-2021
244,4,5,Excelente,17154,2023-07-07
245,3,2,Aceptable,17885,2021-12-15
246,5,5,Excelente,18505,03/12/2021
247,2,3,Aceptable,18327,28-11-2023
248,5,4,Excelente,7130028,2023-05-21
249,2,3,Aceptable,18063,2023-01-12
250,1,1,Deficiente,17148,04-06-2021
251,3,4,Muy bueno,17256,06-08-2021
252,1,1,Deficiente,7126156,2022/11/20
253,1,1,Deficiente,7764194,05-03-2022
254,4,5,Excelente,17326,2021/03/14
255,1,1,Deficiente,18636,2021/11/08
256,1,2,Regular,7107695,09-01-2021
257,3,3,Muy bueno,17761,09/10/2021
258,5,5,Excelente,461342,2022-09-13
259,2,1,Regular,18292,10-20-2023
260,3,3,Muy bueno,461181,07-31-2021
261,2,2,Aceptable,17562,2023-06-25
262,1,2,Regular,17527,06/02/2022
263,3,3,Muy bueno,52200,2022-09-15
264,2,2,Aceptable,17604,02/09/2023
265,4,3,Muy bueno,18413,17/05/2023
266,2,1,Regular,16725,01-07-2022
267,4,5,Excelente,18268,2021-04-04
268,2,2,Aceptable,17977,27-12-2022
269,1,2,Regular,17649,07-30-2021
270,5,5,Excelente,6819611,22-02-2021
271,3,4,Muy bueno,52189,2023/04/30
272,2,1,Regular,17092,2023/11/04
273,1,2,Regular,17929,2021/03/21
274,5,4,Excelente,3566363,01-16-2022
275,3,4,Muy bueno,5653896,2022/09/04
276,1,1,Deficiente,18487,19-12-2021
277,4,5,Excelente,17899,09-08-2021
278,1,1,Deficiente,17746,09-23-2023
279,3,4,Muy bueno,17424,2022-07-10
280,4,5,Excelente,17996,2023-10-14
281,3,4,Muy bueno,7107055,06/07/2022
282,1,1,Deficiente,18297,02-06-2022
283,5,5,Excelente,17505,05-11-2023
284,3,3,Muy bueno,461342,2022-12-24
285,4,3,Muy bueno,5158861,27-02-2022
286,1,2,Regular,5213823,2021-03-31
287,4,4,Excelente,3568169,2021/10/27
288,3,4,Muy bueno,17046,18-02-2021
289,5,5,Excelente,7537965,2021/01/13
290,1,1,Deficiente,17646,2021-09-17
291,4,5,Excelente,5237139,13/04/2023
292,4,3,Muy bueno,52102,07-30-2021
293,5,5,Excelente,17980,16/09/2022
294,3,4,Muy bueno,17760,2022/11/16
295,1,1,Deficiente,17593,03-09-2023
296,5,5,Excelente,18005,2021/12/03
297,5,5,Excelente,16785,2021/07/23
298,2,1,Regular,17578,08-10-2023
299,5,4,Excelente,17949,23-12-2022
300,4,5,Excelente,17395,2021-07-27
301,1,1,Deficiente,17549,01-14-2022
302,1,2,Regular,16776,2022/09/22
303,3,2,Aceptable,16743,11-11-2022
304,1,2,Regular,52060,2023-07-10
305,5,5,Excelente,17975,01-04-2022
306,2,1,Regular,18054,25/08/2022
307,4,4,Excelente,17276,17/02/2022
308,1,1,Deficiente,7928425,2022-11-27
309,2,3,Aceptable,17562,15-03-2021
310,4,3,Muy bueno,17555,17-09-2023
311,3,3,Muy bueno,8799606,04-21-2021
312,2,3,Aceptable,18140,2021/09/04
313,2,3,Aceptable,17342,2022-02-05
314,4,5,Excelente,17426,2022/08/07
315,4,5,Excelente,18508,10-25-2021
316,5,5,Excelente,17278,24-06-2023
317,5,4,Excelente,16959,06/12/2021
318,4,5,Excelente,17207,2023/02/09
319,5,5,Excelente,5653967,2022-10-11
320,4,5,Excelente,17897,2023/02/05
321,4,4,Excelente,5241187,2023-09-07
322,3,2,Aceptable,18467,01-19-2021
323,4,5,Excelente,17664,2021/08/19
324,1,2,Regular,52141,10-18-2022
325,3,3,Muy bueno,18604,2021-07-21
326,4,3,Muy bueno,3573331,08/04/2022
327,5,4,Excelente,52177,08/11/2023
328,3,4,Muy bueno,18485,22-06-2023
329,2,2,Aceptable,8218587,24-03-2023
330,2,1,Regular,5075332,2022-01-12
331,1,1,Deficiente,5237113,2022/10/10
332,5,5,Excelente,18279,11-04-2023
333,1,1,Deficiente,17194,05-09-2023
334,4,3,Muy bueno,17383,2022/02/15
335,5,5,Excelente,16686,2021/07/20
336,4,4,Excelente,17945,2023-01-29
337,1,1,Deficiente,52184,07/11/2023
338,1,1,Deficiente,5246197,20/04/2023
339,4,5,Excelente,17136,2021-08-24
340,3,3,Muy bueno,17990,2022/06/14
341,4,4,Excelente,18363,2022/03/17
342,1,1,Deficiente,7126156,28-10-2021
343,4,5,Excelente,8799607,2022/01/26
344,2,1,Regular,16887,02/12/2023
345,2,3,Aceptable,17745,2022-05-27
346,5,4,Excelente,9187543,10/11/2022
347,3,4,Muy bueno,7107693,04/09/2021
348,1,1,Deficiente,17027,06-26-2023
349,3,2,Aceptable,7107693,07-06-2022
350,5,5,Excelente,6819625,21-02-2022
351,5,4,Excelente,17939,24/05/2023
352,5,4,Excelente,17324,2023-03-22
353,2,3,Aceptable,17814,16-03-2023
354,3,4,Muy bueno,17612,2021-06-04
355,4,4,Excelente,17242,2021/10/05
356,3,4,Muy bueno,7168554,05-27-2022
357,2,2,Aceptable,5653909,2023-08-26
358,4,5,Excelente,7591618,12-30-2022
359,1,1,Deficiente,4737941,02-02-2021
360,3,4,Muy bueno,17445,09-11-2023
361,1,1,Deficiente,8799553,2022-03-28
362,1,1,Deficiente,17965,2021-09-28
363,4,3,Muy bueno,7403983,2023-01-25
364,1,2,Regular,8799606,07-14-2023
365,4,3,Muy bueno,17206,17-12-2023
366,5,5,Excelente,18506,10-07-2021
367,1,2,Regular,16822,08-07-2022
368,2,1,Regular,18068,01-21-2023
369,4,3,Muy bueno,18135,11-01-2023
370,1,1,Deficiente,3573052,03-04-2021
371,1,1,Deficiente,5799343,2022/11/19
372,2,2,Aceptable,17065,2021-05-26
373,3,4,Muy bueno,7125619,2023/03/21
374,3,3,Muy bueno,7248182,10-23-2021
375,3,2,Aceptable,5653965,03-11-2021
376,5,5,Excelente,17425,15-05-2023
377,5,4,Excelente,18066,2021-02-08
378,2,1,Regular,17593,2022/11/02
379,3,2,Aceptable,16770,12-01-2023
380,5,5,Excelente,17754,2022-08-20
381,1,1,Deficiente,3569222,10/09/2022
382,3,3,Muy bueno,9294001,24/09/2022
383,5,5,Excelente,16965,03-04-2021
384,1,1,Deficiente,18374,2023-10-10
385,1,1,Deficiente,16972,2023/07/14
386,2,1,Regular,17064,2023-06-23
387,5,5,Excelente,17392,2023-06-08
388,5,5,Excelente,18447,2022-07-04
389,5,4,Excelente,52159,13/07/2022
390,1,2,Regular,4749887,11-07-2023
391,5,5,Excelente,18393,2023-10-05
392,1,1,Deficiente,17158,2021/06/29
393,4,4,Excelente,18071,11-12-2021
394,2,2,Aceptable,8914013,07-16-2023
395,1,1,Deficiente,17642,10/12/2023
396,1,1,Deficiente,17505,2022/08/23
397,5,5,Excelente,16964,12/01/2022
398,5,4,Excelente,7889423,2021-01-18
399,2,3,Aceptable,18422,30-09-2023
400,3,2,Aceptable,18493,01-15-2021
401,5,5,Excelente,3740132,2022-10-13
402,3,2,Aceptable,18030,2022-02-04
403,4,4,Excelente,16973,2022-11-27
404,2,1,Regular,17869,2021-11-24
405,3,3,Muy bueno,52073,23/10/2022
406,2,3,Aceptable,16957,2022-09-05
407,2,2,Aceptable,7840483,14/09/2022
408,5,5,Excelente,7126156,15-09-2022
409,2,3,Aceptable,17251,18/09/2023
410,4,3,Muy bueno,7886698,15-11-2021
411,5,5,Excelente,5240105,03/11/2021
412,5,5,Excelente,17203,2021/11/05
413,2,2,Aceptable,17122,11/08/2022
414,4,3,Muy bueno,7162223,10-11-2022
415,5,5,Excelente,52199,22/06/2023
416,2,2,Aceptable,17931,07/12/2021
417,1,1,Deficiente,16663,16/02/2021
418,5,5,Excelente,3991326,2023/06/12
419,2,3,Aceptable,52221,02-12-2022
420,5,5,Excelente,16708,2021/08/30
421,2,3,Aceptable,17787,2023/03/05
422,3,4,Muy bueno,3573049,2023-11-13
423,3,3,Muy bueno,18634,11-17-2021
424,1,2,Regular,17682,05-03-2022
425,4,5,Excelente,17692,2023/03/26
426,4,5,Excelente,17308,14-02-2022
427,3,2,Aceptable,18357,01-30-2023
428,4,3,Muy bueno,17034,04-26-2021
429,2,3,Aceptable,17109,27/02/2022
430,2,3,Aceptable,18125,20-09-2022
431,3,2,Aceptable,4731667,05/02/2022
432,5,5,Excelente,17406,2022-02-12
433,4,4,Excelente,17679,2022-10-18
434,1,1,Deficiente,17791,2023-04-12
435,3,4,Muy bueno,3568959,07-15-2021
436,1,1,Deficiente,17065,2021-10-21
437,2,1,Regular,18403,01/09/2021
438,4,4,Excelente,18124,2021-05-26
439,2,2,Aceptable,4988362,16-01-2021
440,2,1,Regular,17892,12-18-2021
441,1,1,Deficiente,18115,16-12-2021
442,3,3,Muy bueno,18578,2023-02-17
443,3,4,Muy bueno,17740,06-02-2021
444,5,5,Excelente,7943778,2021-02-06
445,3,2,Aceptable,17853,2021-12-25
446,1,1,Deficiente,7127772,16/11/2022
447,4,3,Muy bueno,16753,02-01-2021
448,1,1,Deficiente,17331,14-03-2023
449,2,2,Aceptable,9397076,2023-04-01
450,2,1,Regular,7862341,2023-07-11
451,1,1,Deficiente,18272,2021/04/11
452,3,3,Muy bueno,17302,07-17-2022
453,1,1,Deficiente,17605,18/09/2023
454,2,2,Aceptable,17353,04-09-2021
455,2,1,Regular,5240280,2023-04-15
456,5,4,Excelente,52155,04-04-2021
457,5,5,Excelente,17069,12-04-2021
458,4,3,Muy bueno,17019,2022-04-01
459,5,5,Excelente,17504,2022-07-27
460,1,1,Deficiente,17341,2021/03/01
461,5,5,Excelente,16911,06-21-2022
462,1,1,Deficiente,16788,29-10-2023
463,2,1,Regular,5237137,08-04-2023
464,1,1,Deficiente,17651,27/11/2022
465,2,1,Regular,17625,2021/07/24
466,2,2,Aceptable,17517,2023-02-24
467,3,2,Aceptable,52204,2021-05-13
468,4,5,Excelente,3991019,27/04/2023
469,4,3,Muy bueno,18037,2021/12/28
470,3,3,Muy bueno,18446,01-04-2023
471,1,1,Deficiente,8776080,2023-06-18
472,2,1,Regular,52175,2023/06/05
473,1,1,Deficiente,17690,06-14-2022
474,5,5,Excelente,17938,2023/04/24
475,5,5,Excelente,7356654,12-12-2021
476,4,4,Excelente,16693,24-08-2022
477,1,1,Deficiente,7928031,04/12/2022
478,5,5,Excelente,18558,26/10/2023
479,5,4,Excelente,17659,2023-10-05
480,3,3,Muy bueno,16886,08-11-2023
481,4,4,Excelente,7928425,2022-03-19
482,4,4,Excelente,17931,2021-01-25
483,5,5,Excelente,18431,2022/12/25
484,2,1,Regular,17249,26/07/2022
485,3,4,Muy bueno,18063,14/11/2022
486,3,2,Aceptable,18408,2022-05-07
487,2,3,Aceptable,16759,2023-01-08
488,5,5,Excelente,7403983,31/01/2022
489,1,2,Regular,17015,03-12-2022
490,5,5,Excelente,17513,2023-03-04
491,2,3,Aceptable,17904,05/05/2022
492,5,4,Excelente,7764194,2022-06-19
493,2,3,Aceptable,6819618,2021/07/11
494,1,2,Regular,18273,27/02/2022
495,4,5,Excelente,16960,2022/12/09
496,5,4,Excelente,17252,26-07-2023
497,1,1,Deficiente,4794560,01-18-2021
498,5,5,Excelente,17501,2023/07/21
499,3,4,Muy bueno,18457,07-19-2021
500,1,1,Deficiente,18167,10-18-2021
501,4,5,Excelente,17054,07-09-2023
502,4,5,Excelente,6905562,06-19-2021
503,3,2,Aceptable,18389,24/09/2022
504,3,2,Aceptable,16942,07-06-2021
505,3,3,Muy bueno,18344,06/07/2022
506,4,3,Muy bueno,18022,27-08-2021
507,1,1,Deficiente,18591,06-30-2022
508,2,3,Aceptable,7902706,2021-07-21
509,5,5,Excelente,17421,07-25-2021
510,1,1,Deficiente,17537,24/04/2022
511,3,3,Muy bueno,17029,2023/01/05
512,5,5,Excelente,8907324,03-06-2021
513,5,4,Excelente,52054,05-22-2021
514,3,4,Muy bueno,18615,07/05/2021
515,4,5,Excelente,7862341,05-25-2022
516,5,4,Excelente,17889,2022-05-12
517,1,1,Deficiente,3573005,09/02/2023
518,4,3,Muy bueno,18269,12-06-2023
519,5,5,Excelente,4988362,2022-10-01
520,5,4,Excelente,52131,02/08/2023
521,1,2,Regular,17814,02-19-2023
522,3,3,Muy bueno,17390,09-05-2022
523,1,1,Deficiente,17684,2022/03/26
524,5,5,Excelente,5237119,31-05-2021
525,4,5,Excelente,17366,06-02-2023
526,3,3,Muy bueno,4731210,2023/08/16
527,2,3,Aceptable,17081,2021-07-27
528,1,1,Deficiente,17153,2023/06/13
529,4,5,Excelente,8799532,30/05/2023
530,2,2,Aceptable,17336,14-04-2022
531,1,1,Deficiente,17942,05-16-2023
532,3,4,Muy bueno,17487,24/02/2022
533,5,5,Excelente,17750,03-28-2022
534,4,4,Excelente,5220259,23-10-2021
535,2,1,Regular,17890,11-23-2022
536,5,4,Excelente,16939,2022/09/01
537,5,5,Excelente,18545,02-12-2022
538,2,3,Aceptable,17415,2022-11-30
539,1,1,Deficiente,3573773,2022/07/27
540,4,3,Muy bueno,17755,17/11/2023
541,5,4,Excelente,17281,24/02/2023
542,3,4,Muy bueno,16859,02-06-2021
543,4,4,Excelente,18203,10-05-2023
544,2,3,Aceptable,17094,2022-05-27
545,2,1,Regular,52131,2021/11/24
546,1,1,Deficiente,16868,2023-07-18
547,5,5,Excelente,7403983,2023/06/17
548,1,1,Deficiente,16827,07-12-2023
549,2,2,Aceptable,18048,02/10/2022
550,1,2,Regular,17799,2023/07/27
551,3,2,Aceptable,9261936,14/02/2022
552,5,4,Excelente,17074,04-03-2022
553,5,4,Excelente,16701,01-08-2021
554,3,3,Muy bueno,5653737,2021-01-24
555,4,4,Excelente,16946,28-12-2022
556,2,3,Aceptable,5246189,07-26-2021
557,1,1,Deficiente,16943,2021/10/30
558,1,2,Regular,18559,02/07/2022
559,2,3,Aceptable,9263613,2021-07-26
560,5,4,Excelente,17334,2021-01-27
561,1,2,Regular,18147,15-12-2022
562,4,5,Excelente,16854,2022/07/13
563,1,1,Deficiente,17949,03-22-2022
564,4,4,Excelente,16726,07-06-2022
565,3,2,Aceptable,17996,12-10-2022
566,5,5,Excelente,18502,2023-11-21
567,2,2,Aceptable,17676,25-12-2022
568,3,3,Muy bueno,17045,28/02/2021
569,4,3,Muy bueno,17706,11-27-2022
570,5,4,Excelente,52060,03/02/2023
571,1,2,Regular,18307,2022/02/10
572,1,2,Regular,18437,11/11/2021
573,2,2,Aceptable,5246180,2021-07-05
574,3,3,Muy bueno,5237133,2023/04/13
575,1,1,Deficiente,18505,2021/07/28
576,3,2,Aceptable,3568708,05-10-2022
577,5,5,Excelente,17081,21-12-2021
578,2,2,Aceptable,5219929,01-20-2022
579,2,2,Aceptable,17839,2022/06/01
580,4,5,Excelente,18437,17-08-2022
581,2,3,Aceptable,16744,2022-08-08
582,3,2,Aceptable,4792806,2023/01/09
583,2,3,Aceptable,18627,25/10/2022
584,4,3,Muy bueno,18039,11/10/2023
585,5,5,Excelente,17133,04-11-2021
586,4,4,Excelente,4749889,21/06/2021
587,2,1,Regular,17133,24-08-2022
588,4,3,Muy bueno,18166,2022-09-23
589,3,2,Aceptable,7603212,03-01-2023
590,2,2,Aceptable,16886,2023-01-30
591,3,3,Muy bueno,18036,17-07-2021
592,5,4,Excelente,17172,2023/04/05
593,4,4,Excelente,5211393,2021-07-28
594,5,5,Excelente,18440,30-10-2021
595,3,3,Muy bueno,18203,2022/12/29
596,3,3,Muy bueno,17606,2022-11-21
597,5,5,Excelente,17801,02-01-2023
598,2,2,Aceptable,17164,25-10-2021
599,3,4,Muy bueno,8785833,18-10-2021
600,4,4,Excelente,18256,21/09/2021
601,2,2,Aceptable,4730844,2023/05/26
602,4,3,Muy bueno,17339,05-03-2023
603,1,1,Deficiente,5237118,2022/10/30
604,3,2,Aceptable,18532,11/01/2022
605,3,4,Muy bueno,16757,2022/04/24
606,3,2,Aceptable,5237126,19-04-2023
607,1,1,Deficiente,5173859,02-04-2022
608,5,5,Excelente,18348,07-19-2023
609,2,1,Regular,18254,2021-09-18
610,1,2,Regular,7840614,2021/07/27
611,3,3,Muy bueno,17843,2023-09-14
612,3,3,Muy bueno,5654018,19-04-2022
613,5,4,Excelente,18151,10-03-2021
614,4,3,Muy bueno,18020,29/05/2022
615,1,2,Regular,5237116,19/01/2022
616,1,2,Regular,18318,01-19-2022
617,3,2,Aceptable,52229,2022-09-10
618,3,4,Muy bueno,16882,2022/02/04
619,5,5,Excelente,8776034,2022-04-25
620,1,2,Regular,7247845,2021/12/06
621,2,2,Aceptable,18328,2021-01-22
622,3,4,Muy bueno,18484,2022-03-21
623,4,4,Excelente,3569222,2021/10/11
624,5,5,Excelente,52194,2023/11/07
625,1,2,Regular,18135,03-24-2021
626,1,1,Deficiente,16912,07-03-2023
627,5,5,Excelente,52179,2021/05/08
628,2,2,Aceptable,3962563,2022-03-18
629,5,5,Excelente,18116,2021-03-31
630,4,3,Muy bueno,5653909,12-14-2021
631,5,4,Excelente,18488,11-07-2021
632,2,2,Aceptable,7107694,07-18-2022
633,4,3,Muy bueno,7927289,2021/06/17
634,5,4,Excelente,17069,2022-09-30
