ID,FECHA_INTERVENCION,TIPO_INTERVENCION,ESTADO_PREVIO,ESTADO_POSTERIOR,JuegoID,Tipo,Comentarios
"-82,00 MNT",2024-10-04,Emergencia,Regular,Regular,58669,queja_usuario,Comentario sobre el mantenimiento 82
"-83,00 MNT",13/09/2024,Emergencia,Bueno,Regular,3568984,queja_usuario,Comentario sobre el mantenimiento 83
"-84,00 MNT",23/01/2024,Correctivo,Bueno,Regular,8820187,preventivo,Comentario sobre el mantenimiento 84
"-85,00 MNT",08-11-2023,Preventivo,Regular,Bueno,58807,preventivo,Comentario sobre el mantenimiento 85
"-86,00 MNT",10-11-2024,Preventivo,Malo,Malo,58331,preventivo,Comentario sobre el mantenimiento 86
"-87,00 MNT",2024-09-25,Preventivo,Regular,Bueno,20243,preventivo,Comentario sobre el mantenimiento 87
"-88,00 MNT",14/06/2024,Preventivo,Malo,Regular,9177751,queja_usuario,Comentario sobre el mantenimiento 88
"-89,00 MNT",19/01/2024,Emergencia,Regular,Bueno,4992011,queja_usuario,Comentario sobre el mantenimiento 89
"-90,00 MNT",2023-12-13,Correctivo,Bueno,Regular,4988363,preventivo,Comentario sobre el mantenimiento 90
"-91,00 MNT",2023-10-21,Emergencia,Bueno,Malo,33142,queja_usuario,Comentario sobre el mantenimiento 91
"-92,00 MNT",04-02-2024,Correctivo,Malo,Bueno,60137,queja_usuario,Comentario sobre el mantenimiento 92
"-93,00 MNT",2024-06-21,Emergencia,Regular,Bueno,5025124,preventivo,Comentario sobre el mantenimiento 93
"-94,00 MNT",19-01-2024,Emergencia,Regular,Malo,59883,queja_usuario,Comentario sobre el mantenimiento 94
"-95,00 MNT",02-16-2024,Emergencia,Malo,Bueno,34743,preventivo,Comentario sobre el mantenimiento 95
"-96,00 MNT",2023-10-28,Preventivo,Regular,Malo,7895400,preventivo,Comentario sobre el mantenimiento 96
"-97,00 MNT",07-10-2024,Emergencia,Malo,Bueno,8817614,preventivo,Comentario sobre el mantenimiento 97
"-98,00 MNT",2024-05-10,Emergencia,Regular,Malo,7672874,preventivo,Comentario sobre el mantenimiento 98
"-99,00 MNT",03-04-2024,Correctivo,Regular,Regular,7588210,queja_usuario,Comentario sobre el mantenimiento 99
"-100,00 MNT",26/01/2024,Correctivo,Bueno,Regular,60020,queja_usuario,Comentario sobre el mantenimiento 100
"-101,00 MNT",23-06-2024,Emergencia,Regular,Bueno,5174671,queja_usuario,Comentario sobre el mantenimiento 101
"-102,00 MNT",08-03-2024,Emergencia,Regular,Regular,58499,preventivo,Comentario sobre el mantenimiento 102
"-103,00 MNT",2024-09-27,Preventivo,Malo,Malo,35152,preventivo,Comentario sobre el mantenimiento 103
"-104,00 MNT",06-17-2024,Correctivo,Malo,Regular,59016,preventivo,Comentario sobre el mantenimiento 104
"-105,00 MNT",07/04/2024,Emergencia,Regular,Malo,3568696,preventivo,Comentario sobre el mantenimiento 105
"-106,00 MNT",2023/12/23,Correctivo,Regular,Malo,21125,preventivo,Comentario sobre el mantenimiento 106
"-107,00 MNT",03-06-2024,Correctivo,Regular,Bueno,5241059,queja_usuario,Comentario sobre el mantenimiento 107
"-108,00 MNT",2024-08-07,Emergencia,Regular,Regular,8941054,queja_usuario,Comentario sobre el mantenimiento 108
"-109,00 MNT",12-12-2023,Preventivo,Bueno,Bueno,5658100,preventivo,Comentario sobre el mantenimiento 109
"-110,00 MNT",2024-01-25,Emergencia,Malo,Bueno,5657902,preventivo,Comentario sobre el mantenimiento 110
"-111,00 MNT",30/05/2024,Correctivo,Regular,Regular,25074,preventivo,Comentario sobre el mantenimiento 111
"-112,00 MNT",07/07/2024,Correctivo,Malo,Bueno,59359,queja_usuario,Comentario sobre el mantenimiento 112
"-113,00 MNT",03/02/2024,Emergencia,Malo,Bueno,20749,preventivo,Comentario sobre el mantenimiento 113
"-114,00 MNT",11/02/2024,Preventivo,Malo,Bueno,6878958,preventivo,Comentario sobre el mantenimiento 114
"-115,00 MNT",2024-09-10,Correctivo,Malo,Regular,58490,queja_usuario,Comentario sobre el mantenimiento 115
"-116,00 MNT",04-04-2024,Emergencia,Malo,Bueno,7934559,preventivo,Comentario sobre el mantenimiento 116
"-117,00 MNT",12-16-2023,Emergencia,Bueno,Bueno,6761239,preventivo,Comentario sobre el mantenimiento 117
"-118,00 MNT",2024/07/18,Preventivo,Malo,Regular,6778176,queja_usuario,Comentario sobre el mantenimiento 118
"-119,00 MNT",09-11-2023,Preventivo,Regular,Malo,9048980,queja_usuario,Comentario sobre el mantenimiento 119
"-120,00 MNT",10-10-2024,Emergencia,Regular,Regular,6878761,queja_usuario,Comentario sobre el mantenimiento 120
"-121,00 MNT",01-21-2024,Preventivo,Malo,Regular,19718,preventivo,Comentario sobre el mantenimiento 121
"-122,00 MNT",31-03-2024,Preventivo,Malo,Bueno,4988105,queja_usuario,Comentario sobre el mantenimiento 122
"-123,00 MNT",01-30-2024,Correctivo,Regular,Malo,21087,queja_usuario,Comentario sobre el mantenimiento 123
"-124,00 MNT",2023-10-18,Correctivo,Regular,Malo,21536,preventivo,Comentario sobre el mantenimiento 124
"-125,00 MNT",09-24-2024,Emergencia,Regular,Regular,20046,queja_usuario,Comentario sobre el mantenimiento 125
"-126,00 MNT",15-11-2023,Correctivo,Bueno,Regular,21007,preventivo,Comentario sobre el mantenimiento 126
"-127,00 MNT",2023/12/06,Correctivo,Malo,Regular,19426,preventivo,Comentario sobre el mantenimiento 127
"-128,00 MNT",11/02/2024,Preventivo,Bueno,Malo,20187,preventivo,Comentario sobre el mantenimiento 128
"-129,00 MNT",06/09/2024,Preventivo,Malo,Bueno,7927325,preventivo,Comentario sobre el mantenimiento 129
"-130,00 MNT",2024-07-18,Preventivo,Malo,Malo,22445,queja_usuario,Comentario sobre el mantenimiento 130
"-131,00 MNT",28/08/2024,Emergencia,Regular,Regular,33208,queja_usuario,Comentario sobre el mantenimiento 131
"-132,00 MNT",2024-09-10,Preventivo,Regular,Regular,5249944,preventivo,Comentario sobre el mantenimiento 132
"-133,00 MNT",22-07-2024,Correctivo,Bueno,Regular,20585,queja_usuario,Comentario sobre el mantenimiento 133
"-134,00 MNT",2024-05-15,Emergencia,Regular,Bueno,8971301,queja_usuario,Comentario sobre el mantenimiento 134
"-135,00 MNT",17-12-2023,Preventivo,Bueno,Bueno,9177931,queja_usuario,Comentario sobre el mantenimiento 135
"-136,00 MNT",2024-04-14,Correctivo,Regular,Malo,5240867,preventivo,Comentario sobre el mantenimiento 136
"-137,00 MNT",2024-01-01,Preventivo,Regular,Bueno,58294,preventivo,Comentario sobre el mantenimiento 137
"-138,00 MNT",08/01/2024,Preventivo,Malo,Bueno,60060,preventivo,Comentario sobre el mantenimiento 138
"-139,00 MNT",14-06-2024,Preventivo,Malo,Regular,7792012,queja_usuario,
"-140,00 MNT",2024-01-30,Preventivo,Regular,Bueno,33703,preventivo,Comentario sobre el mantenimiento 140
"-141,00 MNT",2023/11/16,Correctivo,Bueno,Bueno,7802478,preventivo,Comentario sobre el mantenimiento 141
"-142,00 MNT",02-11-2023,Preventivo,Regular,Bueno,24922,queja_usuario,Comentario sobre el mantenimiento 142
"-143,00 MNT",2024-03-18,Correctivo,Bueno,Malo,33593,preventivo,Comentario sobre el mantenimiento 143
"-144,00 MNT",29-01-2024,Emergencia,Malo,Regular,8987321,queja_usuario,Comentario sobre el mantenimiento 144
"-145,00 MNT",25-09-2024,Emergencia,Bueno,Bueno,9493030,queja_usuario,Comentario sobre el mantenimiento 145
"-146,00 MNT",02-23-2024,Preventivo,Malo,Regular,7240162,preventivo,Comentario sobre el mantenimiento 146
"-147,00 MNT",07-22-2024,Preventivo,Malo,Bueno,21861,preventivo,Comentario sobre el mantenimiento 147
"-148,00 MNT",15-02-2024,Emergencia,Regular,Regular,4737960,queja_usuario,Comentario sobre el mantenimiento 148
"-149,00 MNT",2024/08/12,Preventivo,Regular,Regular,5231453,queja_usuario,Comentario sobre el mantenimiento 149
"-150,00 MNT",08-09-2024,Preventivo,Regular,Regular,24872,queja_usuario,Comentario sobre el mantenimiento 150
"-151,00 MNT",01-19-2024,Emergencia,Bueno,Bueno,33550,queja_usuario,Comentario sobre el mantenimiento 151
"-152,00 MNT",06-10-2024,Preventivo,Bueno,Bueno,58615,preventivo,Comentario sobre el mantenimiento 152
"-153,00 MNT",28/11/2023,Emergencia,Malo,Malo,24746,queja_usuario,Comentario sobre el mantenimiento 153
"-154,00 MNT",2024/02/24,Preventivo,Regular,Regular,9295465,preventivo,Comentario sobre el mantenimiento 154
"-155,00 MNT",2024-01-28,Correctivo,Malo,Bueno,9184890,preventivo,Comentario sobre el mantenimiento 155
"-156,00 MNT",08-11-2023,Preventivo,Malo,Regular,4960333,queja_usuario,Comentario sobre el mantenimiento 156
"-157,00 MNT",08-05-2024,Emergencia,Bueno,Malo,4730882,preventivo,Comentario sobre el mantenimiento 157
"-158,00 MNT",07-02-2024,Correctivo,Regular,Bueno,58788,preventivo,Comentario sobre el mantenimiento 158
"-159,00 MNT",06-02-2024,Correctivo,Malo,Regular,18846,preventivo,Comentario sobre el mantenimiento 159
"-160,00 MNT",2024-01-21,Preventivo,Regular,Bueno,33976,preventivo,Comentario sobre el mantenimiento 160
"-161,00 MNT",03-28-2024,Preventivo,Malo,Malo,19533,queja_usuario,Comentario sobre el mantenimiento 161
"-162,00 MNT",22-06-2024,Emergencia,Regular,Malo,4987839,queja_usuario,Comentario sobre el mantenimiento 162
"-163,00 MNT",11-06-2023,Correctivo,Bueno,Malo,4987794,queja_usuario,Comentario sobre el mantenimiento 163
"-164,00 MNT",01-05-2024,Correctivo,Bueno,Malo,24788,queja_usuario,Comentario sobre el mantenimiento 164
"-165,00 MNT",2024-08-03,Emergencia,Malo,Malo,3568750,preventivo,Comentario sobre el mantenimiento 165
"-166,00 MNT",09/01/2024,Correctivo,Regular,Bueno,5658962,preventivo,Comentario sobre el mantenimiento 166
"-167,00 MNT",2024/06/07,Correctivo,Bueno,Bueno,3994638,queja_usuario,Comentario sobre el mantenimiento 167
"-168,00 MNT",12-01-2023,Correctivo,Regular,Bueno,19215,queja_usuario,Comentario sobre el mantenimiento 168
"-169,00 MNT",2024-04-16,Correctivo,Bueno,Regular,33282,preventivo,Comentario sobre el mantenimiento 169
"-170,00 MNT",2024-01-29,Correctivo,Bueno,Regular,59776,preventivo,Comentario sobre el mantenimiento 170
"-171,00 MNT",05-03-2024,Preventivo,Bueno,Bueno,5599622,queja_usuario,Comentario sobre el mantenimiento 171
"-172,00 MNT",16-08-2024,Preventivo,Malo,Regular,9470338,queja_usuario,Comentario sobre el mantenimiento 172
"-173,00 MNT",2023-11-13,Emergencia,Regular,Malo,7889390,queja_usuario,Comentario sobre el mantenimiento 173
"-174,00 MNT",2024-09-16,Emergencia,Malo,Bueno,21844,queja_usuario,Comentario sobre el mantenimiento 174
"-175,00 MNT",2024-08-23,Correctivo,Regular,Malo,5658594,preventivo,Comentario sobre el mantenimiento 175
"-176,00 MNT",23/09/2024,Correctivo,Regular,Regular,20168,queja_usuario,Comentario sobre el mantenimiento 176
"-177,00 MNT",09-05-2024,Emergencia,Malo,Malo,4737934,preventivo,Comentario sobre el mantenimiento 177
"-178,00 MNT",2024/10/05,Preventivo,Malo,Malo,25837,queja_usuario,Comentario sobre el mantenimiento 178
"-179,00 MNT",2024-08-27,Preventivo,Regular,Malo,7794412,queja_usuario,Comentario sobre el mantenimiento 179
"-180,00 MNT",2024-03-30,Correctivo,Bueno,Bueno,5173936,preventivo,Comentario sobre el mantenimiento 180
"-181,00 MNT",2023-12-05,Emergencia,Bueno,Regular,8804525,preventivo,Comentario sobre el mantenimiento 181
"-182,00 MNT",2024/09/16,Correctivo,Malo,Regular,35183,preventivo,Comentario sobre el mantenimiento 182
"-183,00 MNT",10-18-2023,Preventivo,Regular,Bueno,21845,queja_usuario,Comentario sobre el mantenimiento 183
"-184,00 MNT",07-25-2024,Preventivo,Regular,Regular,58391,queja_usuario,Comentario sobre el mantenimiento 184
"-185,00 MNT",2024-03-07,Emergencia,Regular,Bueno,4737877,queja_usuario,Comentario sobre el mantenimiento 185
"-186,00 MNT",11-13-2023,Preventivo,Regular,Regular,7928440,preventivo,Comentario sobre el mantenimiento 186
"-187,00 MNT",02-04-2024,Preventivo,Regular,Regular,9284743,preventivo,Comentario sobre el mantenimiento 187
"-188,00 MNT",2024-01-03,Preventivo,Regular,Regular,7526687,preventivo,Comentario sobre el mantenimiento 188
"-189,00 MNT",11-19-2023,Emergencia,Regular,Bueno,4750008,preventivo,Comentario sobre el mantenimiento 189
"-190,00 MNT",29-08-2024,Correctivo,Regular,Regular,53208,queja_usuario,Comentario sobre el mantenimiento 190
"-191,00 MNT",12-31-2023,Emergencia,Regular,Bueno,3576050,queja_usuario,Comentario sobre el mantenimiento 191
"-192,00 MNT",2024-05-04,Emergencia,Malo,Malo,3575561,preventivo,Comentario sobre el mantenimiento 192
"-193,00 MNT",2024-05-04,Preventivo,Malo,Malo,22438,preventivo,Comentario sobre el mantenimiento 193
"-194,00 MNT",01-22-2024,Emergencia,Regular,Malo,4795148,preventivo,Comentario sobre el mantenimiento 194
"-195,00 MNT",2024/09/05,Preventivo,Regular,Bueno,19838,queja_usuario,Comentario sobre el mantenimiento 195
"-196,00 MNT",2024-05-03,Emergencia,Bueno,Malo,5602454,preventivo,Comentario sobre el mantenimiento 196
"-197,00 MNT",20/11/2023,Correctivo,Bueno,Regular,33170,preventivo,Comentario sobre el mantenimiento 197
"-198,00 MNT",08-01-2024,Correctivo,Bueno,Regular,5245394,preventivo,Comentario sobre el mantenimiento 198
"-199,00 MNT",04/10/2024,Preventivo,Regular,Bueno,5220803,preventivo,Comentario sobre el mantenimiento 199
"-200,00 MNT",11-10-2024,Emergencia,Malo,Bueno,19792,queja_usuario,Comentario sobre el mantenimiento 200
"-201,00 MNT",2024/05/01,Preventivo,Regular,Bueno,58062,preventivo,Comentario sobre el mantenimiento 201
"-202,00 MNT",04-29-2024,Preventivo,Regular,Malo,7794492,preventivo,Comentario sobre el mantenimiento 202
"-203,00 MNT",2023-12-30,Preventivo,Regular,Regular,8978410,preventivo,Comentario sobre el mantenimiento 203
"-204,00 MNT",2024-06-25,Preventivo,Regular,Bueno,59356,queja_usuario,Comentario sobre el mantenimiento 204
"-205,00 MNT",18/08/2024,Preventivo,Regular,Malo,3530725,preventivo,Comentario sobre el mantenimiento 205
"-206,00 MNT",2024-07-14,Preventivo,Bueno,Regular,5237088,queja_usuario,Comentario sobre el mantenimiento 206
"-207,00 MNT",08-03-2024,Emergencia,Regular,Malo,20095,preventivo,Comentario sobre el mantenimiento 207
"-208,00 MNT",03-20-2024,Preventivo,Regular,Bueno,7896549,preventivo,Comentario sobre el mantenimiento 208
"-209,00 MNT",08-05-2024,Emergencia,Bueno,Malo,9291545,preventivo,Comentario sobre el mantenimiento 209
"-210,00 MNT",17-10-2023,Preventivo,Malo,Bueno,22165,queja_usuario,Comentario sobre el mantenimiento 210
"-211,00 MNT",2023-10-21,Correctivo,Bueno,Regular,3577005,queja_usuario,Comentario sobre el mantenimiento 211
"-212,00 MNT",18/06/2024,Emergencia,Bueno,Malo,35117,preventivo,Comentario sobre el mantenimiento 212
"-213,00 MNT",27-12-2023,Preventivo,Malo,Malo,4984514,preventivo,Comentario sobre el mantenimiento 213
"-214,00 MNT",2024-02-21,Emergencia,Bueno,Regular,19933,preventivo,Comentario sobre el mantenimiento 214
"-215,00 MNT",14/11/2023,Correctivo,Malo,Malo,7168585,queja_usuario,Comentario sobre el mantenimiento 215
"-216,00 MNT",28/09/2024,Preventivo,Bueno,Regular,21289,preventivo,Comentario sobre el mantenimiento 216
"-217,00 MNT",20/02/2024,Preventivo,Malo,Regular,6777775,queja_usuario,Comentario sobre el mantenimiento 217
"-218,00 MNT",2024-02-04,Preventivo,Malo,Malo,4731212,preventivo,Comentario sobre el mantenimiento 218
"-219,00 MNT",11-18-2023,Preventivo,Bueno,Regular,7125615,preventivo,Comentario sobre el mantenimiento 219
"-220,00 MNT",08-01-2024,Correctivo,Bueno,Bueno,7126931,queja_usuario,Comentario sobre el mantenimiento 220
"-221,00 MNT",17-06-2024,Correctivo,Regular,Bueno,33821,queja_usuario,Comentario sobre el mantenimiento 221
"-222,00 MNT",10-18-2023,Preventivo,Regular,Regular,9424313,preventivo,Comentario sobre el mantenimiento 222
"-223,00 MNT",2024/07/19,Emergencia,Bueno,Regular,5238914,preventivo,Comentario sobre el mantenimiento 223
"-224,00 MNT",10/07/2024,Emergencia,Regular,Bueno,21070,queja_usuario,Comentario sobre el mantenimiento 224
"-225,00 MNT",2024-06-09,Preventivo,Malo,Bueno,58422,preventivo,Comentario sobre el mantenimiento 225
"-226,00 MNT",01-10-2024,Preventivo,Bueno,Regular,20999,queja_usuario,Comentario sobre el mantenimiento 226
"-227,00 MNT",13/08/2024,Emergencia,Bueno,Bueno,59451,queja_usuario,Comentario sobre el mantenimiento 227
"-228,00 MNT",03-31-2024,Preventivo,Regular,Bueno,7903920,preventivo,Comentario sobre el mantenimiento 228
"-229,00 MNT",03-28-2024,Correctivo,Bueno,Bueno,9129847,queja_usuario,Comentario sobre el mantenimiento 229
"-230,00 MNT",20-08-2024,Emergencia,Malo,Bueno,3963368,preventivo,Comentario sobre el mantenimiento 230
"-231,00 MNT",2023/12/18,Correctivo,Regular,Bueno,4963385,preventivo,Comentario sobre el mantenimiento 231
"-232,00 MNT",02-06-2024,Correctivo,Regular,Regular,19304,preventivo,Comentario sobre el mantenimiento 232
"-233,00 MNT",2024/05/14,Emergencia,Bueno,Regular,3569328,queja_usuario,Comentario sobre el mantenimiento 233
"-234,00 MNT",2024/09/20,Emergencia,Malo,Regular,58975,queja_usuario,Comentario sobre el mantenimiento 234
"-235,00 MNT",10-15-2023,Preventivo,Malo,Regular,58315,queja_usuario,Comentario sobre el mantenimiento 235
"-236,00 MNT",2024-07-08,Preventivo,Regular,Bueno,33091,queja_usuario,Comentario sobre el mantenimiento 236
"-237,00 MNT",2024-06-06,Correctivo,Malo,Regular,22475,preventivo,Comentario sobre el mantenimiento 237
"-238,00 MNT",2024-04-22,Emergencia,Bueno,Regular,57987,preventivo,Comentario sobre el mantenimiento 238
